################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5683335101121110E-02 a         1     0     1     1     1
  5.4249918189365184E-02 a         2     0     1     1     2
 -1.4031638832548077E-01 a         3     0     1     1     3
  1.0705295912071543E-02 a         4     0     1     1     4
  9.2024376492570975E-02 a         5     0     1     1     5
  6.8118450127734459E-02 a         6     0     1     1     6
  6.1277188477740295E-02 a         7     0     1     1     7
 -3.1281328174846640E-01 a         8     0     1     1     8
  2.0522305577029665E-01 a         9     0     1     1     9
 -3.8890979356633548E-01 a        10     0     1     1    10
  7.0701864998100692E-03 a        11     0     1     1    11
 -1.9648165306416968E-01 a        12     0     1     1    12
 -1.1827591994128296E-01 a        13     0     1     1    13
  1.1875917788389929E-01 a        14     0     1     1    14
  1.7394807984321300E-01 a        15     0     1     1    15
  3.9847701425521492E-02 a        16     0     1     1    16
 -8.4995846731932362E-02 a        17     0     1     1    17
 -1.4979016092081690E-01 a        18     0     1     1    18
 -4.3350159309325689E-02 a        19     0     1     1    19
  3.0146014344434097E-01 a        20     0     1     1    20
  1.5794460817816594E-01 a        21     0     1     1    21
 -6.5769824074493874E-02 a        22     0     1     1    22
  2.7037982913310088E-01 a        23     0     1     1    23
  1.2484029859020097E-01 a        24     0     1     1    24
 -1.4405517458052264E-01 a        25     0     1     1    25
  1.0289603487609336E-01 a        26     0     2     1     1
  2.0989829015809627E-01 a        27     0     2     1     2
  3.6614912161155677E-01 a        28     0     2     1     3
  4.0960473856096924E-01 a        29     0     2     1     4
 -5.6650061024578011E-03 a        30     0     2     1     5
 -2.9042887280125446E-01 a        31     0     2     1     6
 -3.3325077567835681E-01 a        32     0     2     1     7
 -5.5109363894586150E-01 a        33     0     2     1     8
 -3.5859015701974645E-01 a        34     0     2     1     9
  4.8733918926292030E-02 a        35     0     2     1    10
 -1.9032695808789113E-01 a        36     0     2     1    11
 -4.2268999148643488E-02 a        37     0     2     1    12
 -2.7554314117992385E-01 a        38     0     2     1    13
 -1.7482908512878714E-01 a        39     0     2     1    14
  1.8466781295694838E-02 a        40     0     2     1    15
 -7.4276148876153233E-02 a        41     0     2     1    16
 -8.8825813173906129E-02 a        42     0     2     1    17
  2.9402588202662022E-01 a        43     0     2     1    18
  3.8467691802560100E-02 a        44     0     2     1    19
 -7.6153817553268992E-03 a        45     0     2     1    20
  1.0883151414984289E-01 a        46     0     2     1    21
 -3.1107750408946350E-01 a        47     0     2     1    22
 -4.4466029109709243E-01 a        48     0     2     1    23
  1.9114930498334565E-01 a        49     0     2     1    24
 -3.2132830937191070E-01 a        50     0     2     1    25
