begin
comment   oxalac_opt-QR-41-8623-3
lattice   4.2403670000000000E+00 0.0000000000000000E+00 0.0000000000000000E+00
lattice   -6.9288744447908501E-01 4.1833741506076461E+00 0.0000000000000000E+00
lattice   1.2737979984311322E-15 1.5021294799118512E-15 2.0802699999999998E+01
atom   3.1731363478898276E+00 7.7382352404661092E-01 6.9496216452619928E+00 O 0.0 0.0 -1.6780000000000000E-02 1.1324200000000000E-01 -5.9932300000000005E-01
atom   3.1618788918507370E+00 2.2639943998435474E-01 9.1636746410700010E+00 O 0.0 0.0 -4.1416199999999997E-01 -3.7656099999999998E-01 -8.7499199999999999E-01
atom   8.1680289416540763E-01 2.3325808608764955E+00 8.6383082773259918E+00 O 0.0 0.0 1.3554000000000000E-02 -1.2519700000000000E-01 6.5948899999999999E-01
atom   8.2809307623531070E-01 2.8800490377022987E+00 6.4242525771670014E+00 O 0.0 0.0 4.5004899999999998E-01 4.1977300000000001E-01 8.0063300000000004E-01
atom   3.7536822318117680E+00 1.0081610838167085E+00 9.1904662303730085E+00 H 0.0 0.0 4.4356499999999999E-01 4.5822900000000000E-01 9.8986000000000005E-02
atom   2.3628978560682379E-01 2.0982873520362038E+00 6.3974611958909913E+00 H 0.0 0.0 -4.1225000000000001E-01 -4.2157899999999998E-01 -1.4881200000000000E-01
atom   2.8102647943968782E+00 6.8926067346499378E-02 7.8684209449990057E+00 C 0.0 0.0 7.6252000000000000E-02 -1.9875200000000001E-01 1.3183380000000000E+00
atom   1.1797690064140665E+00 3.0375569231768949E+00 7.7197095156169988E+00 C 0.0 0.0 -1.4986200000000000E-01 1.1948499999999999E-01 -1.3265880000000001E+00
atom   3.3025557098831149E+00 9.2644163081152853E-01 1.3853078354738004E+01 O 0.0 0.0 -1.1446099999999999E-01 -1.9499999999999999E-03 5.9932200000000002E-01
atom   3.8407826163607504E+00 1.0269983574457362E+00 1.1639025358929997E+01 O 0.0 0.0 3.0382399999999998E-01 4.7012700000000002E-01 8.7499300000000002E-01
atom   1.3797176595313778E+00 2.9963995077697474E+00 1.2164391722674006E+01 O 0.0 0.0 1.2572800000000001E-01 7.0850000000000002E-03 -6.5948600000000002E-01
atom   8.4145260044303904E-01 2.8958032900835562E+00 1.4378447422832997E+01 O 0.0 0.0 -3.4059299999999998E-01 -5.1259399999999999E-01 -8.0063300000000004E-01
atom   3.1662305436545379E+00 3.1540720926846444E-01 1.1612233769626989E+01 H 0.0 0.0 -3.7958999999999998E-01 -5.1247799999999999E-01 -9.8986000000000005E-02
atom   1.5160047224817956E+00 3.6073943964270869E+00 1.4405238804109006E+01 H 0.0 0.0 3.4855000000000003E-01 4.7559600000000002E-01 1.4881200000000000E-01
atom   3.9386847656498523E+00 1.3996181446052611E+00 1.2934279055000992E+01 C 0.0 0.0 2.0854100000000000E-01 -4.2750000000000003E-02 -1.3183410000000000E+00
atom   7.4352650582317903E-01 2.5231168617738122E+00 1.3082990484383000E+01 C 0.0 0.0 -1.4236499999999999E-01 1.2832499999999999E-01 1.3265860000000000E+00
atom   7.0650912565028445E-01 2.8655105993504337E+00 3.4517283547380058E+00 O 0.0 0.0 -1.6780000000000000E-02 1.1324200000000000E-01 5.9932300000000005E-01
atom   6.9525166961119422E-01 2.3180865152881771E+00 1.2376753589299985E+00 O 0.0 0.0 -4.1416199999999997E-01 -3.7656099999999998E-01 8.7499199999999999E-01
atom   3.2834301164049493E+00 2.4089378557267213E-01 1.7630417226740067E+00 O 0.0 0.0 1.3554000000000000E-02 -1.2519700000000000E-01 -6.5948899999999999E-01
atom   3.2947202984748531E+00 7.8836196239847556E-01 3.9770974228329976E+00 O 0.0 0.0 4.5004899999999998E-01 4.1977300000000001E-01 -8.0063300000000004E-01
atom   1.2870550095722286E+00 3.0998481591205311E+00 1.2108837696270087E+00 H 0.0 0.0 4.4356499999999999E-01 4.5822900000000000E-01 -9.8986000000000005E-02
atom   2.7029170078463660E+00 6.6002767323804362E-03 4.0038888041090077E+00 H 0.0 0.0 -4.1225000000000001E-01 -4.2157899999999998E-01 1.4881200000000000E-01
atom   3.4363757215733554E-01 2.1606131426503219E+00 2.5329290550009929E+00 C 0.0 0.0 7.6252000000000000E-02 -1.9875200000000001E-01 -1.3183380000000000E+00
atom   3.6463962286536087E+00 9.4586984787307160E-01 2.6816404843830006E+00 C 0.0 0.0 -1.4986200000000000E-01 1.1948499999999999E-01 1.3265880000000001E+00
