################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.3953676722639696E+00   7.5507145862328295E+00   4.7211289849898268E+00   9.1469448885342897E-01
         1          2   4.7070961609927702E+00   1.2956254088277651E+01   8.2574964161495679E+00   1.5644170064930754E+00
         1          3   5.3356375363242092E+00   1.4021594284768074E+01   1.0072971059729730E+01   1.5884675385366838E+00
         1          4   6.7569533903089756E+00   7.0488384990208770E+00   6.9396242178777889E+00   1.7785525133328595E-02
         1          5   1.9923537267653776E-16   2.4606284923600338E-15   8.8300325178539897E-16   1.4021634584913237E-16
         1          6   3.1477315777500134E+01   5.2805148510167896E+01   4.3692914854404570E+01   4.2725549372284322E+00
         1          7   1.1181765036327494E+01   2.5922493743317123E+01   1.9636893815685298E+01   3.1069113327361828E+00
         1          8   1.8964269928505981E+01   4.6568095589020928E+01   3.4175290985708713E+01   6.0829497981849681E+00
         1          9   5.1468087170461967E+00   1.1795358768828843E+01   9.3917331740056564E+00   1.6856742906511890E+00
         1         10   2.4436227948923410E+01   5.2908266764805411E+01   4.1904927523659580E+01   5.8570467161509203E+00
         1         11   4.4733850689773000E+01   9.3250915674354545E+01   7.2678841967349427E+01   1.0689348873918405E+01
         1         12   4.9256134403156452E+01   1.0907513121525055E+02   8.3901516715221717E+01   1.2957224950871145E+01
         1         13   3.6538214810624595E+01   9.1114296069748306E+01   6.7252244352466590E+01   1.2533323991874395E+01
         1         14   7.9716879077809253E+00   2.0065025804035557E+01   1.5220758186034283E+01   1.9070725831173523E+00
         1         15   2.7673844489504864E+00   7.0359349035641108E+00   4.2816653140573200E+00   1.1280802520426312E+00
         1         16   3.3581561511163818E+00   3.7916844640305403E+00   3.5021558667427986E+00   4.4891560518775180E-02
         1         17   7.6927883861779289E+00   7.8340962378319521E+00   7.7643601404164846E+00   8.3787095886823197E-03
         1         18   7.6274625922783619E+00   1.6692040971342543E+01   1.2402777424649056E+01   1.5592391539218995E+00
         1         19   3.6427202160447663E+01   4.7200639757685813E+01   4.1086787875392439E+01   2.0497105788746088E+00
         1         20   9.0916224802086894E-03   5.8314519725445271E+00   2.4621630194523365E+00   1.5204485613707444E+00
         1         21   1.3478290915865198E+01   1.8061943056163464E+01   1.5876719166995974E+01   9.6235703642073589E-01
         1         22   4.1765230407714552E-05   5.6698872146828352E+00   1.9323721644471408E+00   1.7039724548333002E+00
         1         23   5.5905946314995738E+00   8.6798227020590506E+00   7.3385429096284174E+00   6.3630267771133386E-01
         1         24   3.4264900883923479E+00   6.1894809566293931E+00   4.8630934449834591E+00   5.1410477362323503E-01
         1         25   1.7883139941448530E+01   2.1308701506848912E+01   1.9172998963965913E+01   6.1396422478690549E-01
         1         26   1.2670901172486730E+00   1.6593566031803473E+00   1.4361227972187411E+00   8.4784865729118503E-02
         1         27   6.7045333355164238E-01   8.8727758317402383E-01   7.6023886445658073E-01   4.2794646282447106E-02
         1         28   3.7632786429287424E+00   4.1647980520198420E+00   3.9943800619161864E+00   4.8798817262543953E-02
         1         29   1.3871880830742065E+00   1.5380712387228841E+00   1.4556816124351930E+00   2.7958553412760052E-02
         1         30   8.0469425205704175E-09   1.7185679323338129E-02   3.7523642533088186E-03   4.2013670484595325E-03
         1         31   7.8784966700886966E-05   5.8535183472810436E-04   1.9540067184785909E-04   1.0482034419081549E-04
         1         32   1.4779258791985977E-02   1.7363430916204639E-02   1.6299331942585288E-02   2.0484688975912321E-04
         1         33   3.4076948307689540E-06   5.5133104694441425E-06   3.7847328043212029E-06   3.8134033600257207E-07
         1         34   1.3322260907135331E-11   4.2065068849098223E-10   5.1139541830053272E-11   6.0082186066533610E-11
         1         35   1.8321163790828787E-21   7.6108966154125264E-16   3.6410381228914027E-17   8.9349685079410419E-17
         1         36   2.8369298308800488E-26   1.1301614954384447E-24   5.8364724263522603E-26   1.0612243217928289E-25
         1         37   6.5660726909668866E-34   1.6769151333464257E-33   1.4236350274853473E-33   6.4803094666072591E-35
         1         38   6.6507059261005304E+02   2.2189485330665902E+03   1.4966791411395432E+03   3.2897408456609543E+02
         1         39   1.8192866321821225E+03   5.3157453735892786E+03   3.6296437816058137E+03   7.7803361733954534E+02
         1         40   1.4276241556476768E+02   4.8488713904687768E+02   3.5444624242748552E+02   6.4139815779553246E+01
         1         41   8.1664799907061229E+02   1.8697171862292803E+03   1.3541759700302368E+03   2.3228109752526382E+02
         1         42   1.6003622583518972E+01   1.5904167699140973E+02   9.7602191993262736E+01   3.0274052363862435E+01
         1         43   5.2614270714522081E+02   1.0590826834323639E+03   8.0689062160530602E+02   1.1720858510219553E+02
         1         44   3.4284850642031174E+01   1.9168032179397466E+02   1.3564629759498968E+02   2.7054625455304208E+01
         1         45   5.8246832090758254E+01   2.3729397973973946E+02   1.7738022261037759E+02   3.0987263236210968E+01
         1         46   5.3698491322990627E+00   9.3225955084389511E+01   5.4935065809673979E+01   2.0929280245868149E+01
         1         47   1.5973635111532184E+02   2.7593843490876048E+02   2.2002391020218764E+02   2.5127504256219048E+01
         1         48   9.1202179025126910E+01   2.4305875442685169E+02   1.6864523775414574E+02   2.9688413168379988E+01
         1         49   1.6217328594498190E+02   3.1743227695825465E+02   2.4128534611014049E+02   3.0431944061930274E+01
         1         50   2.0605528997663445E+00   4.5714567504907912E+01   2.9285548531649845E+01   9.0355099172064808E+00
         1         51   1.0194495170246178E+02   1.9705736015366074E+02   1.5035294643247281E+02   1.6796228873945683E+01
         1         52   2.5676543707092265E+00   2.7621553891077330E+01   1.9375997791248750E+01   4.4532281572758361E+00
         1         53   4.8679960984137786E+01   7.5354584734701277E+01   6.2115786749232676E+01   5.1542541590257613E+00
         1         54   6.7301730585673583E-02   1.9646565151633133E+01   8.7320522714240223E+00   5.6891698432037936E+00
         1         55   2.7276881949124075E+01   4.4294801048528626E+01   3.7076015535859398E+01   3.0620877323445996E+00
         1         56   9.7787439575209287E+00   2.4319554654914604E+01   1.7957967118838585E+01   2.4315996050137958E+00
         1         57   2.5813933013126086E+01   3.5154782471022287E+01   3.0777053568960913E+01   1.8227373574289962E+00
         1         58   7.9196375474479543E+00   1.2565370113530754E+01   1.0807710188906965E+01   7.9583402725390073E-01
         1         59   1.3287331286159883E+01   1.6212451586520395E+01   1.4534555053549040E+01   5.3298480354628397E-01
         1         60   1.2001099154260590E+00   1.3524066570042954E+00   1.2691953785141070E+00   2.9664958307884730E-02
         1         61   5.4566293954071386E-02   6.2672395375622095E-02   5.8427780404329194E-02   9.6890686601350262E-04
         1         62   4.6079834077939604E-03   5.3341369722380207E-03   5.2007709302939039E-03   5.2064781676509607E-05
         1         63   3.7530945761318974E-15   1.7840490335571372E-08   1.8501461154813792E-09   2.9700070578600667E-09
         1         64   4.1556040387621348E-05   5.4041311777098076E-05   4.9766392099479808E-05   9.1729480480273110E-07
         2          1   1.6905462016612616E+00   4.4412193400865014E+00   3.0240790043374872E+00   5.8094887587994237E-01
         2          2   5.6697310639269753E+00   6.1901493436492991E+00   5.8770249232221135E+00   5.6413757362864532E-02
         2          3   1.4094462194224002E+01   1.4407393812157148E+01   1.4240711384050782E+01   2.2697581642805296E-02
         2          4   5.7311639409449934E-08   5.1796606488012302E-07   2.1071105766039009E-07   2.9097490406124994E-08
         2          5   5.4976933684284030E-60   4.1653171271219949E-55   6.6628880573473655E-57   3.2552680195148788E-56
         2          6   1.0461911284254025E+01   2.6541836711220299E+01   1.9477312188491481E+01   3.4038941239341054E+00
         2          7   1.5726722664705628E+01   4.4997149018420245E+01   3.1063429812476720E+01   5.8718892572303725E+00
         2          8   1.0849602932446601E+01   2.0330220362232044E+01   1.5237015210558848E+01   1.9763284610303284E+00
         2          9   9.7446722201455334E+00   1.0256254695342202E+01   9.9493081599336470E+00   3.5003423136370421E-02
         2         10   1.1351668757727107E+00   1.7503146339806690E+00   1.4663954884881851E+00   3.8952294554216137E-02
         2         11   1.3457341265632013E-17   7.7335197100059253E-16   1.4914206899761039E-16   5.2039361986855985E-17
         2         12   2.6286904480345601E+01   5.5138162198941778E+01   4.4070233874305409E+01   6.0117763098501253E+00
         2         13   4.6413608301693017E+01   9.8338853182288076E+01   7.7689651797370360E+01   1.1615144564136651E+01
         2         14   4.5926788701102737E+01   1.1210360356460946E+02   8.3741046375175216E+01   1.4104393132842793E+01
