id,spacegroup,density,energy,minimization_step,trial_number,minimization_time,metadata
oxalac_opt-QR-4-6815-3,4,1.9149,-95.2402,3,6815,1.152050495147705,
oxalac_opt-QR-14-6913-3,14,1.9112,-95.1374,3,6913,2.1799569129943848,
oxalac_opt-QR-14-12492-3,14,1.9262,-93.9361,3,12492,8.74968934059143,
oxalac_opt-QR-7-7510-3,7,1.9222,-93.6939,3,7510,1.149909257888794,
oxalac_opt-QR-29-11121-3,29,1.9025,-92.9679,3,11121,7.4381422996521,
oxalac_opt-QR-14-12507-3,14,1.902,-92.7933,3,12507,2.0234899520874023,
oxalac_opt-QR-1-7216-3,1,1.8594,-92.6149,3,7216,1.1038718223571777,
oxalac_opt-QR-4-2265-3,4,1.8984,-92.6138,3,2265,3.4672691822052,
oxalac_opt-QR-14-9952-3,14,1.8538,-92.283,3,9952,3.374055862426758,
oxalac_opt-QR-33-7208-3,33,1.8983,-92.127,3,7208,1.8740308284759521,
oxalac_opt-QR-7-9867-3,7,1.8932,-92.0112,3,9867,3.3254239559173584,
oxalac_opt-QR-14-9963-3,14,1.91,-91.7776,3,9963,2.0199482440948486,
oxalac_opt-QR-4-5656-3,4,1.8889,-91.7601,3,5656,2.0721511840820312,
oxalac_opt-QR-41-3894-3,41,1.854,-91.6915,3,3894,2.245920419692993,
oxalac_opt-QR-9-10404-3,9,1.865,-91.6675,3,10404,1.7580289840698242,
oxalac_opt-QR-14-7190-3,14,1.8688,-91.6514,3,7190,6.284310340881348,
oxalac_opt-QR-14-1240-3,14,1.8808,-91.5608,3,1240,4.5770792961120605,
oxalac_opt-QR-14-9020-3,14,1.8885,-91.5389,3,9020,2.1737263202667236,
oxalac_opt-QR-9-1976-3,9,1.8846,-91.5209,3,1976,1.8103647232055664,
oxalac_opt-QR-9-5870-3,9,1.882,-91.4853,3,5870,1.4117307662963867,
oxalac_opt-QR-14-12513-3,14,1.9051,-91.4631,3,12513,14.754928827285767,
oxalac_opt-QR-7-7025-3,7,1.9085,-91.3535,3,7025,8.124740362167358,
oxalac_opt-QR-14-5977-3,14,1.9093,-91.2922,3,5977,5.938003778457642,
oxalac_opt-QR-9-6182-3,9,1.8758,-91.1688,3,6182,3.8111016750335693,
oxalac_opt-QR-29-2269-3,29,1.8804,-90.9797,3,2269,8.18215036392212,
oxalac_opt-QR-14-10029-3,14,1.8681,-90.978,3,10029,5.080302476882935,
oxalac_opt-QR-14-10115-3,14,1.9239,-90.9326,3,10115,10.446853637695312,
oxalac_opt-QR-14-5211-3,14,1.8633,-90.9111,3,5211,4.025631904602051,
oxalac_opt-QR-7-8493-3,7,1.9594,-90.7724,3,8493,1.217233419418335,
oxalac_opt-QR-14-7996-3,14,1.8907,-90.6196,3,7996,1.9851713180541992,
oxalac_opt-QR-41-7878-3,41,1.8758,-90.6108,3,7878,2.4238719940185547,
oxalac_opt-QR-14-10571-3,14,1.9129,-90.4916,3,10571,2.2249755859375,
oxalac_opt-QR-2-4464-3,2,1.8605,-90.4455,3,4464,1.4679076671600342,
oxalac_opt-QR-33-5707-3,33,1.8715,-90.3848,3,5707,3.5779032707214355,
oxalac_opt-QR-14-13248-3,14,1.9529,-90.3751,3,13248,3.7862913608551025,
oxalac_opt-QR-1-3760-3,1,1.8827,-90.3491,3,3760,2.221790075302124,
oxalac_opt-QR-61-8758-3,61,1.9229,-90.1836,3,8758,4.3305580615997314,
oxalac_opt-QR-9-7740-3,9,1.8726,-90.1134,3,7740,1.3549118041992188,
oxalac_opt-QR-14-10841-3,14,1.8572,-90.1035,3,10841,7.948518753051758,
oxalac_opt-QR-96-3873-3,96,1.856,-90.0516,3,3873,4.63628625869751,
oxalac_opt-QR-9-2729-3,9,1.8727,-90.0419,3,2729,3.7583794593811035,
oxalac_opt-QR-2-4017-3,2,1.8983,-90.0419,3,4017,4.663703203201294,
oxalac_opt-QR-1-859-3,1,1.899,-90.0375,3,859,1.5704190731048584,
oxalac_opt-QR-14-643-3,14,1.8554,-90.0053,3,643,2.273361921310425,
oxalac_opt-QR-13-25603-3,13,1.8788,-89.9887,3,25603,12.48480772972107,
oxalac_opt-QR-14-9662-3,14,1.8729,-89.9872,3,9662,2.2594640254974365,
oxalac_opt-QR-1-5555-3,1,1.8962,-89.9704,3,5555,2.0132384300231934,
oxalac_opt-QR-15-2461-3,15,1.8608,-89.9311,3,2461,6.047301292419434,
oxalac_opt-QR-7-1935-3,7,1.8527,-89.9187,3,1935,3.4098663330078125,
oxalac_opt-QR-15-12151-3,15,1.8855,-89.8148,3,12151,2.18684983253479,
oxalac_opt-QR-4-9730-3,4,1.8706,-89.8076,3,9730,5.16414999961853,
oxalac_opt-QR-61-15222-3,61,1.8958,-89.7963,3,15222,7.588197946548462,
oxalac_opt-QR-2-12823-3,2,1.8937,-89.7901,3,12823,1.7172191143035889,
oxalac_opt-QR-14-13041-3,14,1.8865,-89.7695,3,13041,5.5781261920928955,
oxalac_opt-QR-2-10341-3,2,1.8789,-89.7677,3,10341,2.7776572704315186,
oxalac_opt-QR-15-7567-3,15,1.8679,-89.7304,3,7567,2.255408525466919,
