################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.0578848235090339E+00 a         1     0     1     1     1
  1.8716826463836731E+00 a         2     0     1     1     2
  3.7554310702011096E+00 a         3     0     1     1     3
 -7.6467430653272714E+00 a         4     0     1     1     4
  1.6794007765849570E+00 a         5     0     1     1     5
  2.6742315623594570E+00 a         6     0     1     1     6
 -4.1092238464054613E+00 a         7     0     1     1     7
  3.1319812411301213E+00 a         8     0     1     1     8
 -2.5240888393575616E+00 a         9     0     1     1     9
  4.8061379676417371E+00 a        10     0     1     1    10
  1.5609041009612337E+00 a        11     0     1     1    11
  2.2601186673415903E+00 a        12     0     1     1    12
 -1.1506739463801101E+00 a        13     0     1     1    13
 -5.4725067629248834E+00 a        14     0     1     1    14
 -1.6404016288412999E+00 a        15     0     1     1    15
 -2.5751542180089337E-01 a        16     0     1     1    16
 -4.9253961232406249E+00 a        17     0     1     1    17
  2.1971889856720521E+00 a        18     0     1     1    18
 -7.1673125052776712E+00 a        19     0     1     1    19
 -1.1139458566645668E+01 a        20     0     1     1    20
 -1.4649964170174006E+00 a        21     0     1     1    21
 -5.6737086379211323E+00 a        22     0     1     1    22
  5.7506829026986894E+00 a        23     0     1     1    23
 -1.7082940432581357E+00 a        24     0     1     1    24
  1.5078595387570608E+00 a        25     0     1     1    25
 -1.0674166397569977E+00 a        26     0     2     1     1
  1.8936750672734723E+00 a        27     0     2     1     2
  2.3279259145500326E+00 a        28     0     2     1     3
  2.9930112913225697E+00 a        29     0     2     1     4
 -1.3641541902087777E+00 a        30     0     2     1     5
  1.2441949910776889E-01 a        31     0     2     1     6
  7.4410212535201248E-01 a        32     0     2     1     7
 -2.9597420106969796E+00 a        33     0     2     1     8
  1.2629954191601014E+00 a        34     0     2     1     9
 -1.0732136735825741E+00 a        35     0     2     1    10
  2.3184816698962183E+00 a        36     0     2     1    11
 -1.9915850871245064E+00 a        37     0     2     1    12
 -1.4100172467849476E-01 a        38     0     2     1    13
 -1.0795673897824332E+00 a        39     0     2     1    14
 -2.4396468971685298E-01 a        40     0     2     1    15
 -3.6733294889021223E-01 a        41     0     2     1    16
  8.2864730078947257E-01 a        42     0     2     1    17
 -6.2613329041087082E+00 a        43     0     2     1    18
 -8.7515601062931336E-01 a        44     0     2     1    19
  7.3299033996249804E-02 a        45     0     2     1    20
  1.3093787441749566E-01 a        46     0     2     1    21
  8.1363577391816044E-01 a        47     0     2     1    22
 -5.1537408661556305E-01 a        48     0     2     1    23
 -2.0243429481512836E+00 a        49     0     2     1    24
 -3.7426526829952844E-01 a        50     0     2     1    25
 -6.4498155983514338E-01 a        51     0     3     1     1
 -2.0526181638387997E+00 a        52     0     3     1     2
 -4.9023180955206046E-02 a        53     0     3     1     3
 -4.0556958877466714E-01 a        54     0     3     1     4
 -2.0081556005493281E-01 a        55     0     3     1     5
  2.4749834460052475E-01 a        56     0     3     1     6
  2.7605911435440316E+00 a        57     0     3     1     7
  8.9580411606034149E-01 a        58     0     3     1     8
 -8.2233632628448927E-01 a        59     0     3     1     9
  3.3477328499234660E-01 a        60     0     3     1    10
 -5.3294772826229353E-01 a        61     0     3     1    11
  2.0517863868024844E-01 a        62     0     3     1    12
  7.6096596028047281E-01 a        63     0     3     1    13
  5.4980259351348160E-01 a        64     0     3     1    14
 -5.9711338235354190E-02 a        65     0     3     1    15
 -2.7776974935229487E-01 a        66     0     3     1    16
  1.2108003045629776E+00 a        67     0     3     1    17
  2.3988265562467730E-02 a        68     0     3     1    18
 -1.1186429359196749E-01 a        69     0     3     1    19
 -7.5290494800650865E-01 a        70     0     3     1    20
  6.2799209452435434E-01 a        71     0     3     1    21
  1.2926149582441100E+00 a        72     0     3     1    22
 -1.1455757147884247E+00 a        73     0     3     1    23
 -1.7604328102215272E-01 a        74     0     3     1    24
  1.7023782740586199E-01 a        75     0     3     1    25
  1.4572244371438643E+00 a        76     0     4     1     1
  5.2432250118310959E+00 a        77     0     4     1     2
 -1.2666125126707248E+00 a        78     0     4     1     3
  1.8139985825731118E+00 a        79     0     4     1     4
  1.0994518053192772E+00 a        80     0     4     1     5
 -2.0168428394494193E+00 a        81     0     4     1     6
 -2.8154673308942910E+00 a        82     0     4     1     7
 -1.6695450488972525E+00 a        83     0     4     1     8
 -3.8152187076984534E-01 a        84     0     4     1     9
 -9.0475433151460138E-01 a        85     0     4     1    10
 -2.2899466857173518E+00 a        86     0     4     1    11
  1.4052644889185761E+00 a        87     0     4     1    12
  1.0384111692188880E+00 a        88     0     4     1    13
  1.0435317612407509E+00 a        89     0     4     1    14
  4.7986372084399065E+00 a        90     0     4     1    15
  2.8880291051509706E+00 a        91     0     4     1    16
  4.9092354005194017E-01 a        92     0     4     1    17
 -5.3780517609060912E+00 a        93     0     4     1    18
 -4.9700528600359040E-01 a        94     0     4     1    19
 -1.8754762059629362E+00 a        95     0     4     1    20
 -2.9419228775792297E+00 a        96     0     4     1    21
  5.5474393750740214E-01 a        97     0     4     1    22
 -2.6235516668387877E+00 a        98     0     4     1    23
  6.0871932220378455E-01 a        99     0     4     1    24
  3.7218339230763746E+00 a       100     0     4     1    25
  1.6011131317611142E+00 a       101     0     5     1     1
  1.6438747151646668E-01 a       102     0     5     1     2
 -1.6853761198433943E+00 a       103     0     5     1     3
  4.6689064830638000E-01 a       104     0     5     1     4
  8.5450636965646712E-02 a       105     0     5     1     5
 -6.4525743698895477E-01 a       106     0     5     1     6
  1.3085472915289298E-01 a       107     0     5     1     7
  5.2895164096543645E-01 a       108     0     5     1     8
  8.8535324063084442E-01 a       109     0     5     1     9
  1.2538274350291356E-01 a       110     0     5     1    10
  2.4458843215791545E-02 a       111     0     5     1    11
  4.4486680252361223E-02 a       112     0     5     1    12
  1.2139766856878831E-01 a       113     0     5     1    13
  1.5176325708933935E-01 a       114     0     5     1    14
  1.0293899647344487E+00 a       115     0     5     1    15
  1.2938995429891513E+00 a       116     0     5     1    16
  7.0881977215558378E-01 a       117     0     5     1    17
 -1.3175840229405118E+00 a       118     0     5     1    18
 -8.3777773388391888E-02 a       119     0     5     1    19
 -5.1137883932615180E-01 a       120     0     5     1    20
 -1.6227672133488036E-01 a       121     0     5     1    21
  1.3605907661209310E-01 a       122     0     5     1    22
 -8.4916939192410501E-01 a       123     0     5     1    23
 -2.1113246380541288E-02 a       124     0     5     1    24
  2.2534762259043273E-01 a       125     0     5     1    25
 -5.8219971984957501E+00 a       126     0     6     1     1
 -4.8436286203675545E+00 a       127     0     6     1     2
 -3.0583211455090735E+00 a       128     0     6     1     3
  2.0960892587013720E+00 a       129     0     6     1     4
 -5.3083703390886781E+00 a       130     0     6     1     5
  3.8280772435423058E+00 a       131     0     6     1     6
 -1.1960096360401338E+00 a       132     0     6     1     7
 -1.4908724258188348E+00 a       133     0     6     1     8
 -4.2530614226003562E+00 a       134     0     6     1     9
 -2.2753291636237205E+00 a       135     0     6     1    10
  4.6697662614387996E+00 a       136     0     6     1    11
  1.1831139526787798E-01 a       137     0     6     1    12
  1.7746491723891304E+00 a       138     0     6     1    13
 -4.4303232786138302E-01 a       139     0     6     1    14
  5.3998574906884631E+00 a       140     0     6     1    15
  2.3115891417415941E+00 a       141     0     6     1    16
 -5.8587851402124533E+00 a       142     0     6     1    17
 -3.8264558127609276E+00 a       143     0     6     1    18
  6.0570727223117418E+00 a       144     0     6     1    19
 -3.9672744014208843E+00 a       145     0     6     1    20
  4.4619700334724319E+00 a       146     0     6     1    21
  5.9756739187129719E+00 a       147     0     6     1    22
