################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.9446899303343488E+00   7.5507145862328260E+00   4.7423798022128913E+00   9.2912740740457933E-01
         1          2   4.3582458534130799E+00   1.3761437922320997E+01   8.2175266493922337E+00   1.5645632358299082E+00
         1          3   5.3356375363242066E+00   1.4204051694778599E+01   1.0081255667953535E+01   1.4759196695551993E+00
         1          4   6.7569533903089676E+00   7.0488384990208850E+00   6.9403302432028111E+00   1.0293370350430837E-02
         1          5   1.9923537267652923E-16   2.4606284923602440E-15   8.8159985631423211E-16   8.1019480969204138E-17
         1          6   3.1477315777500127E+01   5.3036477878542648E+01   4.3830031935617036E+01   4.0002453617368232E+00
         1          7   1.0029035043689191E+01   2.5922493743317091E+01   1.9805063803408160E+01   2.6720132768776392E+00
         1          8   1.6565346370407628E+01   4.6568095589020920E+01   3.4378895242124862E+01   5.3728256334601481E+00
         1          9   5.1468087170461976E+00   1.2585094388128574E+01   9.4015446882157434E+00   1.5887535609779786E+00
         1         10   2.0324841916359699E+01   5.3071533976476083E+01   4.2502292233252604E+01   5.4364568937438094E+00
         1         11   3.8194413612755213E+01   9.3250915674354545E+01   7.4021411463623579E+01   9.2997536426764800E+00
         1         12   4.3599702648939143E+01   1.0907513121525058E+02   8.4728862770296047E+01   1.1085521613892835E+01
         1         13   3.4519246782477623E+01   9.1114296069748320E+01   6.7779855162934538E+01   1.1233553032755188E+01
         1         14   7.9716879077809208E+00   2.1003216541265932E+01   1.5277304677159817E+01   1.7650333529077815E+00
         1         15   2.7673844489504833E+00   7.0359349035641214E+00   4.2386470194471748E+00   1.0492578960432282E+00
         1         16   3.3581561511163640E+00   3.7916844640305305E+00   3.4980715957833328E+00   3.4997691404909659E-02
         1         17   7.6927883861779209E+00   7.8340962378319530E+00   7.7641767447941605E+00   4.8519439353515818E-03
         1         18   7.6274625922783681E+00   1.7622528529454680E+01   1.2388425529130544E+01   1.4562684275000657E+00
         1         19   3.6427202160447671E+01   4.9245080019871935E+01   4.1006884351707349E+01   2.0249880646547598E+00
         1         20   9.0916224802087189E-03   5.8314519725445262E+00   2.3966673023216316E+00   1.4338686388170596E+00
         1         21   1.3478290915865156E+01   1.9253441446464898E+01   1.5817569372704369E+01   9.4418815178311311E-01
         1         22   4.1765230407713908E-05   5.6698872146828334E+00   1.8335892882116822E+00   1.6032637918929007E+00
         1         23   5.5905946314995507E+00   9.3339054786851463E+00   7.3020990060268058E+00   6.1671172489201764E-01
