################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3332732791781610E-01 a         1     0     1     1     1
 -6.1808467690177095E-02 a         2     0     1     1     2
  5.8239367933705995E-02 a         3     0     1     1     3
  2.2868706267153865E-01 a         4     0     1     1     4
 -2.5749457900176775E-01 a         5     0     1     1     5
 -4.4820327634204652E-03 a         6     0     1     1     6
 -2.4920327418967830E-01 a         7     0     1     1     7
 -5.3166964465770229E-03 a         8     0     1     1     8
 -4.7944381793296673E-03 a         9     0     1     1     9
  2.2618965140546671E-03 a        10     0     1     1    10
  1.1820514231053367E-01 a        11     0     1     1    11
 -1.9304905658074487E-01 a        12     0     1     1    12
 -1.6201752224264082E-01 a        13     0     1     1    13
  1.1652185971986993E-01 a        14     0     1     1    14
 -2.4360710071456662E-01 a        15     0     1     1    15
 -8.9716791065418567E-03 a        16     0     1     1    16
 -2.3739416442600170E-01 a        17     0     1     1    17
  5.6133283860963779E-02 a        18     0     1     1    18
  3.2233974765446949E-01 a        19     0     1     1    19
 -3.2311642706296877E-02 a        20     0     1     1    20
 -1.7939363824488552E-01 a        21     0     1     1    21
 -1.1273076492520148E-02 a        22     0     1     1    22
 -2.3751125076355828E-01 a        23     0     1     1    23
 -1.6008418749409045E-01 a        24     0     1     1    24
  4.5430773367989043E-02 a        25     0     1     1    25
  1.8023026503038764E-01 a        26     0     2     1     1
  9.5977847407990327E-02 a        27     0     2     1     2
 -1.4012195772249186E-01 a        28     0     2     1     3
  1.9160514389388518E-02 a        29     0     2     1     4
 -7.1638577025336020E-02 a        30     0     2     1     5
  9.1184051375361508E-02 a        31     0     2     1     6
  1.4247829336544818E-01 a        32     0     2     1     7
  6.9515906261041496E-02 a        33     0     2     1     8
 -4.1014599228127176E-02 a        34     0     2     1     9
