################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.8054342119571301E+00   8.2237409223096964E+00   4.5753393313385065E+00   1.0492305439491620E+00
         1          2   3.2194628563768557E+00   1.3761437922320997E+01   7.7576293443288185E+00   1.7058969114925995E+00
         1          3   4.9607964524794568E+00   1.6141300000229869E+01   9.4390790054795612E+00   1.5949304298911764E+00
         1          4   6.7569533903089729E+00   7.2718477450801746E+00   6.9416320218717038E+00   1.3746459650357104E-02
         1          5   1.9923537267653490E-16   2.4606284923599987E-15   8.8069460375259553E-16   5.2216933573419389E-17
         1          6   2.6567848619118596E+01   5.9875556183063793E+01   4.3432001612911655E+01   4.5472423609078430E+00
         1          7   6.1879394834357830E+00   2.6482589000495253E+01   1.9917350136500698E+01   2.7367694745607265E+00
         1          8   1.0681974567156189E+01   5.0561977730710559E+01   3.4522021806958314E+01   5.8802400597622668E+00
         1          9   5.1415006360361293E+00   1.7591710987190915E+01   9.7541868453732441E+00   1.9805372029401991E+00
         1         10   1.9195388578553622E+01   6.0914053308344577E+01   4.2615636650695905E+01   5.3054007230396154E+00
         1         11   3.2506832791688652E+01   1.0268499754226900E+02   7.3961480209463929E+01   8.7930976030689081E+00
         1         12   2.7670905947570741E+01   1.1172207854133462E+02   8.5117197863425247E+01   1.1210329716062290E+01
         1         13   1.9941139896629576E+01   1.0308285476673230E+02   6.7618021104123898E+01   1.2119410647754796E+01
         1         14   7.8812971994815646E+00   2.5884124046037396E+01   1.4764267051759449E+01   2.0970748967024742E+00
         1         15   2.7673844489504917E+00   1.1371327497794237E+01   5.2347064732665345E+00   2.2335491261752964E+00
         1         16   3.3581561511163827E+00   1.0762254941199036E+01   3.7758366458365606E+00   8.2693968732073830E-01
         1         17   7.6927883861779307E+00   9.1968742648502797E+00   7.7726942971823521E+00   6.3268401542004415E-02
         1         18   6.9236742284813788E+00   3.9547051765007048E+01   1.3526779057443095E+01   3.8415708487799698E+00
         1         19   3.5310953922021625E+01   7.2257812953706960E+01   4.2034539561237196E+01   3.9448283720715205E+00
         1         20   2.7392199709920240E-03   2.1453793338854069E+01   3.5840854043398629E+00   3.0285797432447907E+00
         1         21   1.3205532451048313E+01   2.6679051375334662E+01   1.6565346741027611E+01   1.9959166575067022E+00
         1         22   1.3477510067163794E-06   2.0691389839631544E+01   2.8722159808798406E+00   2.8672876993147955E+00
         1         23   5.4072755221818456E+00   1.5130015298458583E+01   7.7851242364400628E+00   1.3020227818162970E+00
         1         24   3.2914237536264404E+00   1.6908297856696805E+01   5.4290538144456404E+00   1.6272999250665345E+00
         1         25   1.7670984253309079E+01   3.1818507323140910E+01   1.9634510405601816E+01   1.4472463100681172E+00
         1         26   1.2574712392566139E+00   3.1227449869671009E+00   1.5354166740273163E+00   2.4347440248761437E-01
         1         27   6.6783348908519835E-01   3.3581285767178657E+00   8.4939762463734136E-01   2.3705285718460556E-01
         1         28   3.7632786429287419E+00   5.9073698593731780E+00   4.0626864111210406E+00   1.7461780258930351E-01
         1         29   1.3871880830742063E+00   2.4388529340212055E+00   1.4996393420045757E+00   1.0630953345275684E-01
         1         30   3.2639678717485888E-09   4.1247263271637735E-01   1.3088931973561955E-02   2.9288646984746966E-02
         1         31   7.8685001714764327E-05   4.2359161816570741E-02   9.2746648323007688E-04   2.6417846662529806E-03
         1         32   1.4779258791985970E-02   3.5309990522206840E-02   1.6568979562135676E-02   8.5425803528256701E-04
         1         33   3.4076948307689739E-06   1.4449238645984242E-03   1.4222595679106800E-05   5.4897119737026534E-05
         1         34   1.3322260907135380E-11   3.9175999686101740E-06   1.6133913211213766E-08   1.3541247296210538E-07
         1         35   1.8321163790828964E-21   4.6334323082567322E-10   1.0285481364602942E-12   1.3749846657358663E-11
         1         36   2.8369298308801211E-26   1.6242774285199030E-14   3.5523236576758892E-18   1.7444440226150506E-16
         1         37   6.5660726909668379E-34   6.6991385620201249E-21   7.1605134101707737E-25   5.7251245059028296E-23
         1         38   4.6377161706655397E+02   2.8763609175494676E+03   1.4902221366441825E+03   3.2787470679646196E+02
         1         39   1.1302460943172375E+03   6.8369451197591352E+03   3.5991090103446377E+03   7.6374997014309167E+02
