id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-203,1,1.7687,-87.2061,-101.395206,,,-14.189106,
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-630,1,1.7637,-86.6268,-99.67347875,0.5793,1.721727245,-13.04667875,1.142427245
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-720,1,1.7933,-86.6862,-100.9999006,0.5199,0.39530537,-14.31370063,-0.12459463
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-872,1,1.7369,-86.5945,-100.0050992,0.6116,1.390106761,-13.41059924,0.778506761
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1015,1,1.7504,-86.354,-99.72103564,0.8521,1.674170361,-13.36703564,0.822070361
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1146,1,1.7591,-86.1565,-99.01213444,1.0496,2.383071554,-12.85563444,1.333471554
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1169,1,1.7618,-86.4741,-99.58135289,0.732,1.813853105,-13.10725289,1.081853105
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1278,1,1.7459,-86.2171,-98.22555389,0.989,3.169652103,-12.00845389,2.180652103
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1335,1,1.752,-86.2557,-98.93631484,0.9504,2.458891156,-12.68061484,1.508491156
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1398,1,1.7519,-86.1387,-99.24942028,1.0674,2.14578572,-13.11072028,1.07838572
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1408,1,1.7519,-86.228,-99.57485943,0.9781,1.820346567,-13.34685943,0.842246567
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1493,1,1.7918,-86.5199,-99.94788417,0.6862,1.447321825,-13.42798417,0.761121825
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1580,1,1.7953,-85.6224,-97.37427609,1.5837,4.020929911,-11.75187609,2.437229911
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1877,1,1.7711,-85.6401,-98.68759453,1.566,2.707611464,-13.04749453,1.141611464
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1999,1,1.7771,-85.7016,-97.67694712,1.5045,3.718258878,-11.97534712,2.213758878
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2113,1,1.7723,-85.6194,-98.16827829,1.5867,3.226927712,-12.54887829,1.640227712
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2212,1,1.7878,-85.2005,-98.18833999,2.0056,3.206866004,-12.98783999,1.201266004
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2284,1,1.7877,-85.7705,-99.70847035,1.4356,1.686735643,-13.93797035,0.251135643
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2335,1,1.788,-85.2252,-97.15553183,1.9809,4.239674164,-11.93033183,2.258774164
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2341,1,1.788,-85.112,-97.89519182,2.0941,3.500014178,-12.78319182,1.405914178
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2386,1,1.771,-85.247,-98.35311205,1.9591,3.042093944,-13.10611205,1.082993944
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2400,1,1.7711,-85.3349,-98.25426189,1.8712,3.140944106,-12.91936189,1.269744106
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2401,1,1.8023,-85.3054,-98.38707826,1.9007,3.008127739,-13.08167826,1.107427739
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2426,1,1.7913,-85.1018,-97.94126572,2.1043,3.453940273,-12.83946572,1.349640273
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2459,1,1.77,-85.1119,-98.96481298,2.0942,2.430393014,-13.85291298,0.336193014
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2601,1,1.8175,-84.7905,-98.80479355,2.4156,2.59041245,-14.01429355,0.17481245
