structure,zprime,energy,uncertainty,raw_energy,PBE_energy,diff,rel_energy,rel_PBE_energy,rel_diff
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-203.res,4,-5164.456252,2.000378663,-214.1033236,-5166.656318,-2.200065341,,,
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-630.res,4,-5162.413217,1.735704999,-214.0186253,-5164.934591,-2.521373392,2.043035297,1.721727245,-0.321308051
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-720.res,4,-5165.070545,1.619109234,-214.1287903,-5166.261012,-1.190467511,-0.614292459,0.39530537,1.00959783
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-872.res,4,-5161.441047,1.554093423,-213.9783219,-5165.266211,-3.825164441,3.015205861,1.390106761,-1.6250991
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1015.res,4,-5161.61021,1.551032042,-213.9853349,-5164.982147,-3.371937796,2.846042816,1.674170361,-1.171872455
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1146.res,4,-5161.720223,1.5447415,-213.9898957,-5164.273246,-2.553023348,2.736029562,2.383071554,-0.352958007
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1169.res,4,-5162.066154,1.600639312,-214.004237,-5164.842465,-2.776310468,2.390098233,1.813853106,-0.576245127
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1278.res,4,-5160.26372,1.261717024,-213.9295134,-5163.486666,-3.222945873,4.192532636,3.169652103,-1.022880533
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1335.res,4,-5161.705766,1.37281697,-213.9892964,-5164.197427,-2.491660777,2.750486593,2.458891156,-0.291595437
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1398.res,4,-5161.916793,1.499852519,-213.998045,-5164.510532,-2.593739208,2.539459587,2.14578572,-0.393673867
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1408.res,4,-5162.225919,1.555560819,-214.0108604,-5164.835971,-2.610052374,2.2303336,1.820346567,-0.409987034
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1493.res,4,-5164.152305,1.594641486,-214.0907228,-5165.208996,-1.056690576,0.30394706,1.447321825,1.143374765
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1580.res,4,-5162.60472,1.045268849,-214.0265644,-5162.635388,-0.030668323,1.851532893,4.020929911,2.169397018
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1877.res,4,-5161.859782,1.162387873,-213.9956814,-5163.948706,-2.088924376,2.5964705,2.707611464,0.111140964
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1999.res,4,-5161.445333,1.25057423,-213.9784996,-5162.938059,-1.492726229,3.010919766,3.718258878,0.707339112
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2113.res,4,-5161.110497,1.263581365,-213.9646183,-5163.42939,-2.31889318,3.34575555,3.226927712,-0.118827839
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-2212.res,4,-5162.086785,1.087323285,-214.0050923,-5163.449452,-1.362666529,2.369467192,3.206866004,0.837398812
