structure,zprime,energy,uncertainty,raw_energy,PBE_energy,diff,rel_energy,rel_PBE_energy,rel_diff
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-203.res,4,-5165.699745,1.654926799,-214.1548752,-5166.656318,-0.956572445,,,
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-630.res,4,-5163.9739,1.471576939,-214.0833266,-5164.934591,-0.960690901,1.725845701,1.721727245,-0.004118455
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-720.res,4,-5164.844992,1.72079925,-214.1194396,-5166.261012,-1.416020368,0.854753293,0.39530537,-0.459447923
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-872.res,4,-5163.479541,1.546693152,-214.062832,-5165.266211,-1.786669785,2.2202041,1.390106761,-0.830097339
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1015.res,4,-5162.699265,1.561512933,-214.030484,-5164.982147,-2.282882342,3.000480258,1.674170361,-1.326309897
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1146.res,4,-5163.327547,1.502676014,-214.0565307,-5164.273246,-0.945699321,2.37219843,2.383071554,0.010873124
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1169.res,4,-5162.958479,1.608152706,-214.0412302,-5164.842465,-1.883986177,2.741266838,1.813853106,-0.927413732
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1278.res,4,-5161.86601,1.29729895,-213.9959396,-5163.486666,-1.620656088,3.833735746,3.169652103,-0.664083642
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1335.res,4,-5163.058392,1.360855705,-214.0453723,-5164.197427,-1.139034768,2.641353478,2.458891156,-0.182462322
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1398.res,4,-5163.040439,1.314337414,-214.0446281,-5164.510532,-1.470092833,2.659306108,2.14578572,-0.513520388
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1408.res,4,-5163.400251,1.363485564,-214.0595448,-5164.835971,-1.435720301,2.299494422,1.820346567,-0.479147856
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-1493.res,4,-5163.297764,1.692528479,-214.055296,-5165.208996,-1.911231753,2.401981132,1.447321825,-0.954659307
