id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-139,1,1.9101,-94.7557,-98.10577438,,,-3.350074379,
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-154,1,1.9193,-94.6487,-98.64813759,0.107,-0.542363211,-3.99943759,-0.649363211
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-183,1,1.9205,-94.6573,-98.40424975,0.0984,-0.298475369,-3.746949748,-0.396875369
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-386,1,1.8943,-94.7691,-98.98636684,-0.0134,-0.880592456,-4.217266835,-0.867192456
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-435,1,1.9353,-94.7522,-98.31543213,0.0035,-0.209657749,-3.563232128,-0.213157749
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-460,1,1.9366,-94.7895,-98.41979739,-0.0338,-0.314023011,-3.630297391,-0.280223011
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-466,1,1.9367,-94.6855,-98.07187089,0.0702,0.03390349,-3.38637089,-0.03629651
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-785,1,1.9078,-94.1958,-97.94546356,0.5599,0.160310821,-3.749663558,-0.399589179
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-822,1,1.9533,-94.3949,-99.62335126,0.3608,-1.517576878,-5.228451257,-1.878376878
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-829,1,1.9533,-94.161,-99.53778953,0.5947,-1.432015154,-5.376789534,-2.026715154
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-834,1,1.9533,-94.2738,-99.55942057,0.4819,-1.453646196,-5.285620575,-1.935546196
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-848,1,1.9533,-94.2331,-99.17801078,0.5226,-1.072236398,-4.944910777,-1.594836398
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1049,1,1.893,-93.7642,-98.09526375,0.9915,0.010510627,-4.331063752,-0.980989373
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1055,1,1.893,-93.812,-98.17884897,0.9437,-0.073074595,-4.366848974,-1.016774595
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1076,1,1.8996,-93.9176,-98.01905676,0.8381,0.086717617,-4.101456762,-0.751382383
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1093,1,1.8899,-94.3391,-99.52786457,0.4166,-1.422090193,-5.188764573,-1.838690193
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1106,1,1.8273,-93.6446,-99.94129977,1.1111,-1.835525394,-6.296699773,-2.946625394
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1155,1,1.892,-93.725,-97.38982493,1.0307,0.715949445,-3.664824934,-0.314750555
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1198,1,1.8812,-94.1341,-99.37121247,0.6216,-1.265438095,-5.237112475,-1.887038095
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1208,1,1.8811,-93.8396,-99.68784783,0.9161,-1.582073446,-5.848247826,-2.498173446
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1220,1,1.8659,-93.6859,-100.0868001,1.0698,-1.98102572,-6.400900099,-3.05082572
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1239,1,1.8656,-93.7913,-98.5113962,0.9644,-0.405621821,-4.7200962,-1.370021821
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1267,1,1.8859,-93.8488,-99.50617178,0.9069,-1.400397402,-5.657371781,-2.307297402
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1288,1,1.865,-93.6334,-99.83317786,1.1223,-1.727403476,-6.199777855,-2.849703476
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1327,1,1.8977,-93.9938,-99.5153292,0.7619,-1.409554822,-5.521529201,-2.171454822
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1331,1,1.8977,-94.0552,-99.57129213,0.7005,-1.465517748,-5.516092127,-2.166017748
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1476,1,1.9592,-94.0833,-98.56777691,0.6724,-0.462002528,-4.484476907,-1.134402528
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1532,1,1.8853,-93.2761,-97.55050288,1.4796,0.555271497,-4.274402882,-0.924328503
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1807,1,1.9004,-93.2693,-99.7167857,1.4864,-1.61101132,-6.447485699,-3.09741132
