structure,zprime,energy,uncertainty,raw_energy,PBE_energy,diff,rel_energy,rel_PBE_energy,rel_diff
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-139.res,2,-5162.290606,0.590213135,-107.0067711,-5163.366886,-1.076279702,,,
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-154.res,2,-5162.847541,0.606587902,-107.0183155,-5163.909249,-1.061708566,-0.556934347,-0.542363211,0.014571136
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-183.res,2,-5162.667764,0.661299277,-107.014589,-5163.665362,-0.997598019,-0.377157052,-0.298475369,0.078681683
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-386.res,2,-5162.883258,0.519390372,-107.0190559,-5164.247479,-1.364220986,-0.592651172,-0.880592456,-0.287941284
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-435.res,2,-5163.610583,0.494967966,-107.0341323,-5163.576544,0.03403868,-1.319976131,-0.209657749,1.110318382
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-460.res,2,-5163.740154,0.519453779,-107.0368181,-5163.680909,0.059244798,-1.449547512,-0.314023011,1.135524501
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-466.res,2,-5163.311758,0.629325664,-107.0279381,-5163.332983,-0.021224915,-1.021151297,0.03390349,1.055054787
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-785.res,2,-5162.091502,0.371385694,-107.0026439,-5163.206575,-1.115073539,0.199104657,0.160310821,-0.038793836
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-822.res,2,-5166.254646,0.453524405,-107.0889399,-5164.884463,1.370182769,-3.964039349,-1.517576878,2.446462471
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-829.res,2,-5165.986523,0.478155205,-107.0833821,-5164.798901,1.187621793,-3.69591665,-1.432015154,2.263901495
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-834.res,2,-5166.156287,0.459660728,-107.086901,-5164.820532,1.335755085,-3.865680983,-1.453646195,2.412034787
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-848.res,2,-5165.662246,0.530500775,-107.0766603,-5164.439123,1.22312316,-3.37163926,-1.072236398,2.299402862
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1049.res,2,-5162.827501,0.75366112,-107.0179001,-5163.356376,-0.528874821,-0.536894254,0.010510627,0.547404881
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1055.res,2,-5162.927827,0.740640872,-107.0199798,-5163.439961,-0.512133394,-0.637220903,-0.073074595,0.564146308
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1076.res,2,-5162.962822,0.756022853,-107.0207051,-5163.280169,-0.317346083,-0.672216002,0.086717617,0.758933619
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1093.res,2,-5164.638812,0.504203255,-107.055446,-5164.788976,-0.150163954,-2.348205942,-1.422090193,0.926115748
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1106.res,2,-5161.614898,1.183288616,-106.9927646,-5165.202412,-3.587513406,0.67570831,-1.835525394,-2.511233704
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1155.res,2,-5161.508753,0.738712659,-106.9905644,-5162.650937,-1.142183303,0.781853046,0.715949445,-0.065903601
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1198.res,2,-5163.353773,0.929368555,-107.028809,-5164.632324,-1.278551155,-1.063166642,-1.265438095,-0.202271453
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1208.res,2,-5163.920307,0.901030402,-107.0405524,-5164.94896,-1.028652626,-1.629700522,-1.582073446,0.047627076
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1220.res,2,-5164.096502,0.719724442,-107.0442047,-5165.347912,-1.251410255,-1.805895168,-1.98102572,-0.175130552
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1239.res,2,-5161.557522,0.991865145,-106.9915753,-5163.772508,-2.214985826,0.733084304,-0.405621821,-1.138706124
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1267.res,2,-5163.578771,0.508466228,-107.0334729,-5164.767284,-1.188512948,-1.288164155,-1.400397402,-0.112233246
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1288.res,2,-5162.929032,0.648707103,-107.0200047,-5165.09429,-2.165257833,-0.638425345,-1.727403476,-1.088978131
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1327.res,2,-5163.879074,0.583859912,-107.0396977,-5164.776441,-0.897366994,-1.588467531,-1.409554822,0.178912708
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1331.res,2,-5163.923944,0.599265034,-107.0406278,-5164.832404,-0.908460134,-1.633337316,-1.465517748,0.167819568
