################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.6399078072248984E-02 a         1     0     1     1     1
  2.1355710179193754E-03 a         2     0     1     1     2
  1.3631309645039344E-01 a         3     0     1     1     3
  1.2252580746428640E-02 a         4     0     1     1     4
 -1.0922824980734519E-02 a         5     0     1     1     5
  3.0101904177283911E-01 a         6     0     1     1     6
  4.4001287184150598E-03 a         7     0     1     1     7
  3.9832808047042687E-02 a         8     0     1     1     8
 -9.1596887217210807E-02 a         9     0     1     1     9
 -1.3035711947990400E-02 a        10     0     1     1    10
 -2.5786640610637329E-01 a        11     0     1     1    11
 -1.9135316084128909E-01 a        12     0     1     1    12
 -2.5557712569926816E-01 a        13     0     1     1    13
 -7.0020123102066081E-02 a        14     0     1     1    14
  2.1928575882069359E-01 a        15     0     1     1    15
  5.0405746584612027E-02 a        16     0     1     1    16
  1.5302613290464070E-01 a        17     0     1     1    17
  1.6439209928484502E-01 a        18     0     1     1    18
 -1.2016459776039256E-02 a        19     0     1     1    19
 -7.8853436983348957E-02 a        20     0     1     1    20
 -2.0443246794746250E-01 a        21     0     1     1    21
 -4.0335680435258053E-01 a        22     0     1     1    22
  1.2578769096492348E-01 a        23     0     1     1    23
 -1.3912405022838051E-01 a        24     0     1     1    24
  3.7958962378619365E-01 a        25     0     1     1    25
 -2.7956312665957855E-01 a        26     0     2     1     1
  1.1717127863584033E-01 a        27     0     2     1     2
  7.4289972568410334E-01 a        28     0     2     1     3
 -1.5827889730427819E-01 a        29     0     2     1     4
  1.0314356844932263E-01 a        30     0     2     1     5
 -2.4787747264165977E-01 a        31     0     2     1     6
 -2.4622614901330225E-01 a        32     0     2     1     7
  1.2960791139889968E-01 a        33     0     2     1     8
