################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.5016017664238728E+00   1.9855725550110378E+01   1.4250438697721870E+01   2.0992612425945896E+00
         1          2   1.2817076094744573E+00   8.9610217141939419E+00   4.8022999656888281E+00   1.1742110314718079E+00
         1          3   4.5512978393538743E+00   1.2657238042932981E+01   7.7896248933333521E+00   1.2341618997881552E+00
         1          4   1.3042501095803098E+00   3.8396484140735305E+00   1.8416838525177608E+00   2.7044717777935146E-01
         1          5   1.6927042937855576E-22   5.3799047638610178E-15   6.2215034547317731E-16   1.0930208136509926E-15
         1          6   3.8175775639876629E-42   1.7316338102800124E-29   1.1419647744374168E-30   2.5039318158385630E-30
         1          7   2.6815166561740675E+01   7.2135383792462235E+01   5.3004704932509064E+01   5.2741049618120890E+00
         1          8   3.5173759284266666E+00   6.4332043214501562E+00   4.4603517195294575E+00   9.9999958077235052E-01
         1          9   7.4885318027639665E+00   2.4113513062737756E+01   1.7190929533820459E+01   1.9238310094693531E+00
         1         10   1.3415684947167168E+01   4.4067937619757188E+01   3.0321911651655061E+01   3.9500675255089224E+00
         1         11   9.9186351550606382E+00   4.7844658525926398E+01   3.1611206900071974E+01   5.4985132024497583E+00
         1         12   7.9337839838571442E+00   4.4183664447065695E+01   2.3395136448850010E+01   5.6913889894677201E+00
         1         13   3.1314778469859674E+00   1.1618884299288272E+01   5.0241394371229093E+00   2.4859607903068501E+00
         1         14   4.8955998662391185E+00   5.5785343293341016E+00   5.3453384613463504E+00   1.6236850358942551E-01
         1         15   2.4160698530521662E-11   5.5081213156231261E-07   9.6562979027227536E-08   1.4864759739270286E-07
         1         16   7.5238522716905933E+01   1.6261522839071719E+02   1.2845535759233346E+02   9.5648004658492010E+00
         1         17   1.5666956340102367E+01   4.8536725991665655E+01   3.8022208593586143E+01   3.3900214075152868E+00
         1         18   2.7012030481145750E+01   9.0935079709318970E+01   6.6004087245480108E+01   6.6310614066565616E+00
         1         19   3.3194546477651521E+01   1.0209205006197003E+02   7.3853824358740312E+01   7.6937291509845895E+00
         1         20   2.3936294299398735E+01   8.9473732962992514E+01   6.1087723801964486E+01   8.6362716594291751E+00
         1         21   1.0979268422707344E+01   6.7176941478232976E+01   3.8808078586349062E+01   8.2023099782268876E+00
         1         22   1.1383436472162346E+01   4.4449950492762532E+01   2.2700552564631064E+01   4.9923553777435270E+00
         1         23   6.5866130304792563E+00   1.8914469617176870E+01   9.9006858814744625E+00   2.5529392765361449E+00
         1         24   1.5580089181928765E+00   7.7231029156841462E+00   2.3143728167712814E+00   1.2518917790732651E+00
         1         25   3.1504381822540295E+00   4.4235231351684527E+00   4.0436498221594874E+00   4.6788944171980257E-01
         1         26   3.0231903789935182E-03   1.7179629215314829E-01   4.6924125873111851E-02   6.2369953908232433E-02
         1         27   3.1351111607556361E+00   1.5165235443529543E+01   6.3772574961455204E+00   2.8350174476664098E+00
         1         28   2.7039455551702439E+01   4.5310661825948394E+01   3.3699749392259790E+01   3.2678059696024571E+00
         1         29   2.8159208098202854E-02   7.6488760085102161E+00   1.1315706455454357E+00   1.6914375607880208E+00
         1         30   1.9643800220702072E+01   3.0288886953641743E+01   2.3496805073074299E+01   1.8776193443125104E+00
