id,spacegroup,density,energy,molecule_id,minimization_step,trial_number,minimization_time,metadata
resorcinol-QR-19-8828-3-OPT-1,19,1.6703335549004878,-50397.04562686474,no mol_id exists,1,8828,271.68385219573975,
resorcinol-QR-61-7537-3-OPT-1,61,1.6073229961494675,-50395.82644243738,no mol_id exists,1,7537,691.2337844371796,
resorcinol-QR-61-882-3-OPT-1,61,1.5393800509300204,-50395.780375804694,no mol_id exists,1,882,589.8337383270264,
resorcinol-QR-61-13262-3-OPT-1,61,1.5477259824118066,-50394.2323202049,no mol_id exists,1,13262,755.1673862934113,
resorcinol-QR-19-5190-3-OPT-1,19,1.4115784693351665,-50394.13343641751,no mol_id exists,1,5190,288.5580325126648,
resorcinol-QR-61-9253-3-OPT-1,61,1.5556209659974192,-50394.109783286214,no mol_id exists,1,9253,601.3712375164032,
resorcinol-QR-61-1532-3-OPT-1,61,1.5045308525750176,-50391.111379092006,no mol_id exists,1,1532,1040.1807115077972,
resorcinol-QR-61-1543-3-OPT-1,61,1.5582790022844564,-50390.907277497994,no mol_id exists,1,1543,520.3926901817322,
resorcinol-QR-61-4146-3-OPT-1,61,1.5379635184542526,-50390.68693488793,no mol_id exists,1,4146,790.7511811256409,
resorcinol-QR-61-4657-3-OPT-1,61,1.528376602702561,-50390.58788556277,no mol_id exists,1,4657,952.2916736602783,
resorcinol-QR-61-13068-3-OPT-1,61,1.493801344525921,-50390.539046270584,no mol_id exists,1,13068,986.8953394889832,
resorcinol-QR-61-3666-3-OPT-1,61,1.558087512361214,-50390.44734995409,no mol_id exists,1,3666,881.1969718933105,
resorcinol-QR-19-1526-3-OPT-1,19,1.628959862834695,-50389.3887712794,no mol_id exists,1,1526,375.86559653282166,
resorcinol-QR-19-1262-3-OPT-1,19,1.6096821617231813,-50389.20426943821,no mol_id exists,1,1262,137.64842081069946,
resorcinol-QR-19-7758-3-OPT-1,19,1.5316575054210544,-50388.08404149177,no mol_id exists,1,7758,264.4638457298279,
resorcinol-QR-19-4788-3-OPT-1,19,1.5130194145508917,-50387.92324726101,no mol_id exists,1,4788,180.76985573768616,
resorcinol-QR-19-10759-3-OPT-1,19,1.5570065577488923,-50386.963084050105,no mol_id exists,1,10759,303.4379725456238,
