################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3683477096286099E-02 a         1     0     1     1     1
  1.8574435379167439E-01 a         2     0     1     1     2
 -1.5428384750816165E-01 a         3     0     1     1     3
 -2.2861655370314413E-02 a         4     0     1     1     4
  4.2278467116751657E-02 a         5     0     1     1     5
 -5.7167840593188551E-02 a         6     0     1     1     6
  6.6852437146813673E-04 a         7     0     1     1     7
 -9.8869003631497615E-02 a         8     0     1     1     8
  1.4408585627231796E-01 a         9     0     1     1     9
 -3.6058461966776618E-03 a        10     0     1     1    10
 -4.5508713068683704E-02 a        11     0     1     1    11
  1.6459874340890041E-02 a        12     0     1     1    12
  3.8562711633855495E-02 a        13     0     1     1    13
 -8.1426033248245239E-02 a        14     0     1     1    14
  3.1942051008554628E-02 a        15     0     1     1    15
 -1.1273093869746569E-01 a        16     0     1     1    16
  6.3674937944828688E-02 a        17     0     1     1    17
  8.5172168219370847E-02 a        18     0     1     1    18
 -3.1217950111647647E-02 a        19     0     1     1    19
  1.2426827620267489E-01 a        20     0     1     1    20
  1.2713840534557855E-01 a        21     0     1     1    21
  4.1532283740713473E-02 a        22     0     1     1    22
  1.0069750841999503E-01 a        23     0     1     1    23
  1.0947385348715563E-01 a        24     0     1     1    24
 -6.9677301229080016E-02 a        25     0     1     1    25
 -1.4102203388564935E-01 a        26     0     2     1     1
  2.1098395397484267E-02 a        27     0     2     1     2
 -6.3535113371230051E-02 a        28     0     2     1     3
 -1.0605315451734486E-01 a        29     0     2     1     4
  1.4524211111246213E-01 a        30     0     2     1     5
  1.2392709625163414E-01 a        31     0     2     1     6
  1.0588600828577137E-01 a        32     0     2     1     7
 -1.7493581431629660E-01 a        33     0     2     1     8
 -1.0888534586307243E-01 a        34     0     2     1     9
 -8.5702289216922148E-02 a        35     0     2     1    10
 -5.8522814532055448E-02 a        36     0     2     1    11
 -6.7443982294752167E-02 a        37     0     2     1    12
  3.9334606663853348E-02 a        38     0     2     1    13
 -1.3229302042506935E-01 a        39     0     2     1    14
 -1.1924559785925193E-01 a        40     0     2     1    15
  1.1138046164964441E-01 a        41     0     2     1    16
 -5.7956848757944206E-02 a        42     0     2     1    17
  7.8597756898513352E-04 a        43     0     2     1    18
  1.6035088784718007E-01 a        44     0     2     1    19
  1.7197227386305280E-01 a        45     0     2     1    20
 -5.3397730227578905E-02 a        46     0     2     1    21
  1.8279962059280848E-02 a        47     0     2     1    22
 -1.1218224858795831E-01 a        48     0     2     1    23
  7.5806506413653454E-02 a        49     0     2     1    24
 -2.0293981686192508E-01 a        50     0     2     1    25
  6.0524913168622040E-02 a        51     0     3     1     1
  2.3190831497462619E-01 a        52     0     3     1     2
  7.5183080648186795E-03 a        53     0     3     1     3
 -2.4998382248589227E-01 a        54     0     3     1     4
  6.6339681244400706E-02 a        55     0     3     1     5
  6.5921478386324492E-02 a        56     0     3     1     6
 -5.0145879181213951E-02 a        57     0     3     1     7
 -4.6975942731789407E-02 a        58     0     3     1     8
  1.7682566094543914E-01 a        59     0     3     1     9
  3.2852130113341801E-02 a        60     0     3     1    10
  1.3592556648927659E-01 a        61     0     3     1    11
 -5.8845940779415268E-02 a        62     0     3     1    12
  1.2911859007579760E-01 a        63     0     3     1    13
 -2.4389139218068748E-01 a        64     0     3     1    14
  5.1057251169029566E-02 a        65     0     3     1    15
 -1.9027200453278775E-01 a        66     0     3     1    16
  1.0740473650527510E-01 a        67     0     3     1    17
  1.0822737960388532E-01 a        68     0     3     1    18
 -2.9318653507549419E-02 a        69     0     3     1    19
  2.2616067747377747E-01 a        70     0     3     1    20
  1.4543553048799304E-02 a        71     0     3     1    21
 -2.7155440812880773E-02 a        72     0     3     1    22
 -7.1734528841617615E-02 a        73     0     3     1    23
  5.4327217426286156E-02 a        74     0     3     1    24
 -7.1170024122953326E-02 a        75     0     3     1    25
  1.5674281636039697E-01 a        76     0     4     1     1
  1.8576642970747199E-02 a        77     0     4     1     2
 -1.1340787632544294E-01 a        78     0     4     1     3
 -1.4005117089218974E-01 a        79     0     4     1     4
  1.2352906714509117E-02 a        80     0     4     1     5
 -9.7034101993482919E-02 a        81     0     4     1     6
 -3.0174669606259617E-02 a        82     0     4     1     7
  4.9368859169817522E-02 a        83     0     4     1     8
  3.5094093833597850E-01 a        84     0     4     1     9
  1.7474712411435364E-01 a        85     0     4     1    10
 -7.5423358599466675E-03 a        86     0     4     1    11
  2.0283298497521454E-01 a        87     0     4     1    12
  1.3607604867527243E-01 a        88     0     4     1    13
  2.8552254152771486E-02 a        89     0     4     1    14
  5.5281292767259287E-02 a        90     0     4     1    15
 -1.4423202556356340E-01 a        91     0     4     1    16
  3.7699103115924747E-02 a        92     0     4     1    17
  9.7448565237927137E-02 a        93     0     4     1    18
  3.1895688064340455E-02 a        94     0     4     1    19
  3.9948786704521247E-02 a        95     0     4     1    20
  2.0623706596186572E-01 a        96     0     4     1    21
 -3.1385662592617568E-02 a        97     0     4     1    22
  9.8743559146138291E-02 a        98     0     4     1    23
 -9.2374014944469937E-02 a        99     0     4     1    24
 -9.6472526223655694E-02 a       100     0     4     1    25
  2.7855420901059913E-02 a       101     0     5     1     1
 -8.0254319746554031E-02 a       102     0     5     1     2
 -9.7099960924874593E-02 a       103     0     5     1     3
  1.4837473877748361E-01 a       104     0     5     1     4
  1.2556542700984035E-02 a       105     0     5     1     5
  1.2474202952626888E-01 a       106     0     5     1     6
  4.2705232196826565E-02 a       107     0     5     1     7
  3.8707630381499547E-03 a       108     0     5     1     8
  8.8522330699525920E-02 a       109     0     5     1     9
 -1.5161110272563564E-02 a       110     0     5     1    10
 -7.5294076369187016E-02 a       111     0     5     1    11
 -8.2372556416296344E-02 a       112     0     5     1    12
 -2.3417696696485710E-01 a       113     0     5     1    13
 -8.4577065070294607E-03 a       114     0     5     1    14
 -3.3592459177888820E-02 a       115     0     5     1    15
 -4.6628115603044730E-02 a       116     0     5     1    16
 -8.1510624408092328E-02 a       117     0     5     1    17
 -1.3671221905223593E-02 a       118     0     5     1    18
  6.2875975117993962E-02 a       119     0     5     1    19
 -1.0943930389079339E-01 a       120     0     5     1    20
 -3.7134563165496855E-02 a       121     0     5     1    21
 -5.8641398246363746E-02 a       122     0     5     1    22
 -2.8031278460126027E-03 a       123     0     5     1    23
  1.9730450142065630E-02 a       124     0     5     1    24
 -4.1214615117643849E-02 a       125     0     5     1    25
  4.7742684114971165E-02 a       126     0     6     1     1
 -3.5853826689096500E-02 a       127     0     6     1     2
 -5.0139785703741502E-02 a       128     0     6     1     3
 -4.7753616691071539E-03 a       129     0     6     1     4
 -6.8960224592953867E-02 a       130     0     6     1     5
  6.1453451153918009E-02 a       131     0     6     1     6
 -1.0420252417682568E-01 a       132     0     6     1     7
 -1.8377558017312980E-02 a       133     0     6     1     8
  3.8083488855925253E-02 a       134     0     6     1     9
  6.0977527004654412E-02 a       135     0     6     1    10
 -1.0021540461305935E-01 a       136     0     6     1    11
  1.3313645134801799E-01 a       137     0     6     1    12
  1.6977492244900480E-01 a       138     0     6     1    13
