################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.0121626298755096E+01   2.0122785802018740E+01   1.3327205944690377E+01   2.3113787827347299E+00
         1          2   2.5014890858941508E+00   9.0683434740012991E+00   4.5178582953741797E+00   1.2161366343155806E+00
         1          3   2.0985167448778146E+00   8.2275716997495287E+00   2.8522490502846480E+00   1.2079411377065097E+00
         1          4   1.2221650004111102E-22   3.3964176606972363E-14   4.2802789587642255E-17   9.9878452239358543E-16
         1          5   2.2076251445221163E-42   4.5558889079514248E-28   3.9709556972105115E-31   1.3292034387207785E-29
         1          6   2.7584050175190661E+01   6.5888797442454745E+01   4.6038258775446685E+01   7.2424489985359761E+00
         1          7   3.5267387540989805E+00   6.0411075950235880E+00   4.1882813659266693E+00   6.4272079455041953E-01
         1          8   3.6678353310335896E+00   2.3313052117797373E+01   1.4079550032785612E+01   3.1457826246104559E+00
         1          9   6.3806749667364437E+00   4.1981543160458969E+01   2.3632007063948361E+01   5.6129778258944700E+00
         1         10   1.2781051156798174E+01   4.5974080293707573E+01   2.6273931505529593E+01   6.3987787227811674E+00
         1         11   1.2749340415521983E+01   4.3382441540417318E+01   2.1820254377823471E+01   5.6917417263161081E+00
         1         12   1.0014046584111599E+01   2.6326035372648320E+01   1.3920402747346513E+01   3.4073305138808858E+00
         1         13   1.2146054761234382E+00   4.2783420719508705E+00   1.9623923666054719E+00   3.3888358884569286E-01
         1         14   3.9406248169001139E+00   5.4938926448614529E+00   5.2974177102989231E+00   1.7628765205538177E-01
         1         15   7.0198201278799476E-05   2.4371558121092804E-02   1.4836055920006688E-03   1.7278644600309105E-03
         1         16   1.9984069531326456E-11   1.4618431983955414E-06   1.3015165718389609E-08   4.5093006879162569E-08
         1         17   5.2249068187959509E+01   1.4297817908990240E+02   1.0849687386408510E+02   1.5734487800026994E+01
         1         18   7.0184836357474536E+00   4.5603570694392666E+01   3.1332666020409842E+01   6.1310022587988522E+00
         1         19   1.3462246123222293E+01   8.6626883878328982E+01   5.5162068872991050E+01   1.0875442913566193E+01
         1         20   1.6601506188747017E+01   9.7654749959650161E+01   6.0381069337159481E+01   1.3040930847170667E+01
         1         21   1.5730830381361560E+01   8.4000508809972800E+01   4.7749037800127219E+01   1.1312572369188659E+01
         1         22   1.8755047832805982E+01   6.6739895090005774E+01   3.4852639679960667E+01   8.8625213092521236E+00
         1         23   1.3789944128163615E+01   4.3389607008775513E+01   2.1038432559316220E+01   5.3792564000866001E+00
         1         24   7.0864390170516964E+00   2.0193363197888576E+01   9.4247137077458358E+00   2.7143639310208756E+00
         1         25   1.3612971005571346E+00   6.9093865507936192E+00   1.7860016961041063E+00   7.0645068575058811E-01
         1         26   2.4658117568842006E+00   4.4636629773749474E+00   3.9953849710357128E+00   4.3048295793022745E-01
         1         27   5.1891167771835294E+00   6.8873277730855902E+00   5.9659016874460322E+00   7.9579605686534005E-01
         1         28   3.4000690494523922E+00   1.2390651798544752E+01   5.3403988676333540E+00   1.9068341201517027E+00
         1         29   2.9390635607643880E+01   6.2501483780404051E+01   3.8131369697087244E+01   7.3678311728019361E+00
         1         30   3.5068548409403939E-02   6.0386674412618930E+00   5.4186924295732608E-01   9.8590254553182510E-01
         1         31   4.3350279842229171E-04   5.8735374432208074E+00   3.5641990765233905E-01   8.3908427930871021E-01
         1         32   1.5366959670006100E+01   3.4424134232332932E+01   1.9636383028040658E+01   4.3255058276761087E+00
         1         33   1.0581002345924071E-06   5.6667552375347920E+00   2.4175408253637035E-01   7.0156390975368521E-01
         1         34   7.1918913491855152E+00   2.0012987703998053E+01   1.0498424213600513E+01   2.9711401991586861E+00
         1         35   1.6040740757669393E+01   3.4235517394194787E+01   2.0222580412436351E+01   3.8830626677879416E+00
         1         36   4.9714314395409778E+00   1.4274929274525254E+01   7.4897972377795909E+00   2.0887131936793844E+00
         1         37   1.3914523367954017E+00   4.7479796971542356E+00   2.0560832617210321E+00   6.5531073069701840E-01
         1         38   7.1225948150810012E+00   1.5540699156756991E+01   8.7854149543769271E+00   1.8525148293858049E+00
         1         39   1.3626797231433937E-07   2.1009651288616338E+00   7.6679190979860104E-02   2.3590414272215654E-01
         1         40   6.6810915503532113E+00   1.4169556533244617E+01   8.2308860736908134E+00   1.4373726788463057E+00
         1         41   2.7507066330802561E-03   8.7312376234607414E-01   5.3630842745538733E-02   1.1597356949800086E-01
         1         42   2.2186447294411891E-05   8.5557518898655083E-01   3.7548767362215893E-02   1.0080834323227819E-01
         1         43   2.2129844582316721E-01   6.5499947013434068E-01   2.9748423148809522E-01   7.0139565447410068E-02
         1         44   1.1722480874109929E-09   1.9764963502718400E-01   5.2117410587070815E-03   1.8035584069203078E-02
         1         45   4.1865238755042133E-01   1.5687104150095574E+00   7.8913658277358123E-01   2.2641769166631900E-01
         1         46   4.6101733444655665E-02   1.3626403832224185E-01   6.0202858415432256E-02   1.2505270516089682E-02
         1         47   4.1795859763533915E-05   2.3049432254868735E-02   8.3437688469390847E-04   2.2004545884330056E-03
         1         48   3.4387100815382154E-01   1.0393801989837945E+00   4.8301818659377155E-01   1.1414873806131688E-01
         1         49   7.8269531108463741E-02   3.8060276174105312E-01   1.7071318621534870E-01   5.4393632893167239E-02
         1         50   4.3348041654322081E-03   1.5685144945298664E-02   5.7235712450725978E-03   1.3689488207101592E-03
         1         51   2.5147197625937368E-06   7.7024773840608741E-04   2.1453399741122029E-05   5.8646018425936674E-05
