id,spacegroup,density,energy,minimization_step,trial_number,minimization_time,metadata
ttbi-QR-2-5710-3,2,1.3381,-261.0295,3,5710,18.59377360343933,
ttbi-QR-148-1836-3,148,1.1102,-218.832,3,1836,26.677846670150757,
ttbi-QR-19-10848-3,19,1.3267,-217.5804,3,10848,13.346744060516357,
ttbi-QR-2-12795-3,2,1.2879,-217.4471,3,12795,28.000311374664307,
ttbi-QR-2-5277-3,2,1.2293,-214.6594,3,5277,8.781320571899414,
ttbi-QR-15-5265-3,15,1.3876,-211.6613,3,5265,18.28874707221985,
ttbi-QR-148-4654-3,148,1.3143,-211.5775,3,4654,25.73082995414734,
ttbi-QR-14-11610-3,14,1.2682,-211.3929,3,11610,29.64158844947815,
ttbi-QR-2-8477-3,2,1.1981,-209.27,3,8477,17.543834447860718,
ttbi-QR-14-12728-3,14,1.3435,-207.9096,3,12728,19.11111569404602,
ttbi-QR-13-13763-3,13,1.2226,-205.4922,3,13763,53.055192708969116,
ttbi-QR-14-8478-3,14,1.3633,-204.6907,3,8478,18.481516361236572,
ttbi-QR-2-3313-3,2,1.2515,-204.6318,3,3313,10.13976526260376,
ttbi-QR-9-11246-3,9,1.2543,-204.5505,3,11246,8.786784887313843,
ttbi-QR-14-6657-3,14,1.2907,-204.0395,3,6657,15.954696893692017,
ttbi-QR-15-12261-3,15,1.3737,-203.4083,3,12261,19.57593083381653,
ttbi-QR-14-13457-3,14,1.2584,-203.185,3,13457,32.63115310668945,
ttbi-QR-15-9519-3,15,1.3612,-202.8843,3,9519,20.657504558563232,
ttbi-QR-15-14545-3,15,1.32,-202.5725,3,14545,21.226059436798096,
ttbi-QR-19-6133-3,19,1.1794,-202.2036,3,6133,11.89066743850708,
ttbi-QR-15-1758-3,15,1.3303,-201.3862,3,1758,20.002785444259644,
ttbi-QR-20-19950-3,20,1.3329,-201.3724,3,19950,18.969737768173218,
ttbi-QR-76-11301-3,76,1.2958,-201.1855,3,11301,14.005490779876709,
ttbi-QR-15-11930-3,15,1.3233,-201.1634,3,11930,60.622724771499634,
ttbi-QR-15-4818-3,15,1.2751,-200.8454,3,4818,19.361916542053223,
ttbi-QR-60-16868-3,60,1.3002,-200.3978,3,16868,33.774163484573364,
ttbi-QR-88-14797-3,88,1.2787,-200.3451,3,14797,35.409473180770874,
ttbi-QR-14-1736-3,14,1.2075,-200.0635,3,1736,141.50229597091675,
ttbi-QR-15-17914-3,15,1.3298,-200.0179,3,17914,16.304253101348877,
ttbi-QR-14-7827-3,14,1.2326,-199.8502,3,7827,17.03904676437378,
ttbi-QR-15-8112-3,15,1.3123,-199.8148,3,8112,17.86343502998352,
ttbi-QR-15-4826-3,15,1.2494,-199.6988,3,4826,20.192290544509888,
ttbi-QR-15-19026-3,15,1.2174,-198.9867,3,19026,18.487581491470337,
ttbi-QR-15-8585-3,15,1.3513,-198.6902,3,8585,21.046650171279907,
ttbi-QR-96-15134-3,96,1.2858,-198.6345,3,15134,30.38649272918701,
ttbi-QR-15-10403-3,15,1.3709,-198.3793,3,10403,20.49078106880188,
ttbi-QR-43-11375-3,43,1.227,-197.7537,3,11375,65.64671850204468,
ttbi-QR-60-6462-3,60,1.3702,-197.2355,3,6462,34.26222634315491,
ttbi-QR-88-776-3,88,1.4201,-197.2167,3,776,35.290600538253784,
ttbi-QR-15-3806-3,15,1.0785,-197.1006,3,3806,186.9030475616455,
ttbi-QR-14-11768-3,14,1.198,-197.0631,3,11768,47.33110046386719,
ttbi-QR-2-1210-3,2,0.7997,-196.7601,3,1210,6.436777353286743,
ttbi-QR-60-9040-3,60,1.3581,-196.5881,3,9040,35.47652244567871,
ttbi-QR-18-2510-3,18,1.1912,-196.5469,3,2510,15.099700212478638,
ttbi-QR-148-12214-3,148,1.3081,-196.285,3,12214,30.710857391357422,
ttbi-QR-29-1449-3,29,1.2676,-195.3096,3,1449,12.68787956237793,
ttbi-QR-15-9308-3,15,0.797,-194.9082,3,9308,11.438265085220337,
ttbi-QR-14-1800-3,14,1.209,-194.9027,3,1800,15.28924298286438,
ttbi-QR-148-11502-3,148,1.3657,-194.8365,3,11502,28.736911058425903,
ttbi-QR-2-12085-3,2,1.2113,-194.8106,3,12085,19.359586238861084,
ttbi-QR-14-12493-3,14,1.2248,-194.7908,3,12493,17.70575189590454,
ttbi-QR-88-3235-3,88,1.297,-194.4555,3,3235,115.23017072677612,
ttbi-QR-15-19044-3,15,1.3224,-194.2613,3,19044,19.843172073364258,
ttbi-QR-14-13862-3,14,1.2522,-194.1988,3,13862,16.368335008621216,
ttbi-QR-43-15294-3,43,1.198,-194.0968,3,15294,12.023689270019531,
ttbi-QR-2-17972-3,2,1.199,-194.0911,3,17972,9.085340023040771,
ttbi-QR-56-17468-3,56,1.3327,-193.902,3,17468,32.68501925468445,
ttbi-QR-15-5412-3,15,1.4128,-193.849,3,5412,85.32498550415039,
ttbi-QR-60-22798-3,60,0.9821,-193.806,3,22798,75.82530784606934,
ttbi-QR-14-14323-3,14,1.1838,-193.7085,3,14323,49.356589794158936,
ttbi-QR-15-10698-3,15,0.9854,-193.6635,3,10698,16.72467303276062,
ttbi-QR-14-2573-3,14,1.216,-193.6554,3,2573,19.64067268371582,
ttbi-QR-5-18799-3,5,1.323,-193.4321,3,18799,8.090834617614746,
ttbi-QR-13-20472-3,13,1.3511,-193.4177,3,20472,18.995021104812622,
ttbi-QR-88-17488-3,88,1.1798,-193.2886,3,17488,32.31262755393982,
ttbi-QR-2-1813-3,2,0.7787,-192.9679,3,1813,27.454383373260498,
ttbi-QR-15-11093-3,15,0.7788,-192.8555,3,11093,13.766024112701416,
ttbi-QR-60-22866-3,60,1.2161,-192.8298,3,22866,188.75163745880127,
ttbi-QR-2-19491-3,2,1.3013,-192.8254,3,19491,9.933297872543335,
ttbi-QR-15-7961-3,15,1.2427,-192.5587,3,7961,17.782329082489014,
ttbi-QR-2-16542-3,2,1.2076,-192.4746,3,16542,9.368552446365356,
ttbi-QR-15-13512-3,15,1.2064,-192.0679,3,13512,16.70637798309326,
ttbi-QR-148-18224-3,148,1.255,-191.8593,3,18224,25.104763746261597,
ttbi-QR-5-7439-3,5,1.2036,-191.8095,3,7439,6.642394065856934,
ttbi-QR-148-20390-3,148,1.0535,-191.7314,3,20390,54.4199903011322,
ttbi-QR-15-2330-3,15,1.2168,-191.688,3,2330,36.94080424308777,
ttbi-QR-14-3654-3,14,1.2319,-191.4816,3,3654,20.049925327301025,
ttbi-QR-15-21295-3,15,1.2952,-191.4562,3,21295,16.944995880126953,
ttbi-QR-2-13871-3,2,1.3319,-191.2343,3,13871,23.204710721969604,
ttbi-QR-61-12906-3,61,1.2335,-191.0722,3,12906,32.043153524398804,
ttbi-QR-15-11976-3,15,1.3327,-191.0357,3,11976,18.807178020477295,
ttbi-QR-61-9390-3,61,1.2214,-190.9818,3,9390,201.37594270706177,
ttbi-QR-61-15752-3,61,1.2629,-190.8497,3,15752,32.26573133468628,
ttbi-QR-2-3717-3,2,1.208,-190.7808,3,3717,8.886458158493042,
ttbi-QR-15-4785-3,15,1.2785,-190.7132,3,4785,21.129605293273926,
ttbi-QR-15-1243-3,15,1.1583,-190.6971,3,1243,17.417359352111816,
ttbi-QR-15-8728-3,15,1.247,-190.636,3,8728,20.243149995803833,
ttbi-QR-14-8576-3,14,1.2082,-190.5121,3,8576,16.092925310134888,
ttbi-QR-14-1008-3,14,1.3398,-190.3709,3,1008,63.855743169784546,
ttbi-QR-96-10332-3,96,1.3803,-190.1984,3,10332,36.17484498023987,
ttbi-QR-15-13799-3,15,1.1828,-190.0482,3,13799,16.753201484680176,
ttbi-QR-14-7884-3,14,1.2604,-190.0013,3,7884,17.911924839019775,
ttbi-QR-15-2199-3,15,1.3265,-189.8325,3,2199,17.519791841506958,
ttbi-QR-14-11472-3,14,1.2042,-189.6025,3,11472,17.134559631347656,
ttbi-QR-14-10610-3,14,1.2007,-189.531,3,10610,19.909975290298462,
ttbi-QR-148-21775-3,148,1.1749,-189.4686,3,21775,23.138835906982422,
ttbi-QR-148-96-3,148,1.16,-189.1967,3,96,46.99312782287598,
ttbi-QR-14-8146-3,14,1.2485,-189.1084,3,8146,17.845873832702637,
ttbi-QR-96-6964-3,96,1.1543,-189.1003,3,6964,29.358616828918457,
ttbi-QR-15-19181-3,15,1.363,-188.7789,3,19181,18.296481370925903,
ttbi-QR-14-9140-3,14,1.1651,-188.6789,3,9140,33.75264000892639,
ttbi-QR-60-13313-3,60,1.1644,-188.6101,3,13313,32.0076265335083,
ttbi-QR-96-3175-3,96,1.3429,-188.3209,3,3175,31.472585916519165,
ttbi-QR-15-10138-3,15,1.189,-188.2129,3,10138,28.751190185546875,
ttbi-QR-5-8604-3,5,1.2617,-188.2072,3,8604,18.767905473709106,
ttbi-QR-15-16604-3,15,1.246,-187.9807,3,16604,25.98479151725769,
ttbi-QR-19-5809-3,19,1.1892,-187.8427,3,5809,14.342370748519897,
ttbi-QR-14-6606-3,14,1.2114,-187.6539,3,6606,17.68122386932373,
ttbi-QR-15-15518-3,15,1.2319,-187.6194,3,15518,17.492936611175537,
ttbi-QR-96-6648-3,96,1.3207,-187.3255,3,6648,42.81474018096924,
ttbi-QR-15-14544-3,15,1.2919,-186.9994,3,14544,39.36757206916809,
ttbi-QR-15-14279-3,15,1.3828,-186.9528,3,14279,21.940980195999146,
ttbi-QR-14-1277-3,14,1.1643,-186.8765,3,1277,20.514867782592773,
ttbi-QR-148-1606-3,148,1.2191,-186.8676,3,1606,31.142357110977173,
ttbi-QR-14-7466-3,14,1.1797,-186.7819,3,7466,13.900240182876587,
ttbi-QR-15-5172-3,15,1.323,-186.6625,3,5172,89.1768524646759,
ttbi-QR-15-9385-3,15,1.3064,-186.6581,3,9385,34.737860918045044,
ttbi-QR-88-30779-3,88,1.0979,-186.5497,3,30779,28.938237190246582,
ttbi-QR-15-10959-3,15,1.3368,-186.534,3,10959,99.35511541366577,
ttbi-QR-145-8456-3,145,1.2719,-186.3449,3,8456,10.088793516159058,
ttbi-QR-14-7716-3,14,1.3131,-186.274,3,7716,17.847376823425293,
ttbi-QR-15-16622-3,15,1.0418,-185.7156,3,16622,13.471882104873657,
ttbi-QR-33-11895-3,33,1.2674,-185.6844,3,11895,15.007909774780273,
ttbi-QR-14-7702-3,14,1.3596,-185.6106,3,7702,17.409645318984985,
ttbi-QR-88-25223-3,88,1.2494,-185.5275,3,25223,30.49445652961731,
ttbi-QR-15-234-3,15,1.3337,-185.475,3,234,19.749216556549072,
ttbi-QR-148-8748-3,148,1.352,-185.376,3,8748,32.301581621170044,
ttbi-QR-15-16571-3,15,1.3339,-185.3567,3,16571,18.802093267440796,
ttbi-QR-14-13494-3,14,1.1038,-185.2238,3,13494,15.517719745635986,
ttbi-QR-14-784-3,14,1.2131,-185.1339,3,784,24.297804355621338,
ttbi-QR-14-2220-3,14,1.257,-185.1221,3,2220,44.385127782821655,
ttbi-QR-61-6643-3,61,1.2386,-185.067,3,6643,33.60643458366394,
ttbi-QR-88-28055-3,88,1.1559,-185.0421,3,28055,26.73497176170349,
ttbi-QR-15-2057-3,15,1.3373,-184.9796,3,2057,21.102126836776733,
ttbi-QR-13-24247-3,13,0.9361,-184.9545,3,24247,12.006189584732056,
ttbi-QR-60-7267-3,60,1.242,-184.9379,3,7267,43.3459677696228,
ttbi-QR-14-2442-3,14,1.362,-184.9277,3,2442,140.81566834449768,
ttbi-QR-148-7974-3,148,1.1517,-184.9036,3,7974,73.5945348739624,
ttbi-QR-15-4325-3,15,1.1499,-184.8556,3,4325,17.89367365837097,
ttbi-QR-148-2010-3,148,0.8237,-184.8303,3,2010,22.077064275741577,
ttbi-QR-15-9154-3,15,1.2486,-184.7124,3,9154,14.529234647750854,
ttbi-QR-15-14361-3,15,1.0495,-184.7067,3,14361,14.587830066680908,
ttbi-QR-5-15799-3,5,1.2676,-184.6922,3,15799,8.18818974494934,
ttbi-QR-76-5421-3,76,1.294,-184.6708,3,5421,17.800848960876465,
ttbi-QR-15-20428-3,15,1.1301,-184.6688,3,20428,25.255284309387207,
ttbi-QR-148-1874-3,148,1.2312,-184.6515,3,1874,103.71485137939453,
ttbi-QR-43-6183-3,43,1.2076,-184.6046,3,6183,34.914551734924316,
ttbi-QR-60-10029-3,60,1.2009,-184.5176,3,10029,38.55475568771362,
ttbi-QR-15-3241-3,15,1.1779,-184.4755,3,3241,23.283032655715942,
ttbi-QR-14-8186-3,14,1.3447,-184.474,3,8186,15.238560438156128,
ttbi-QR-61-17263-3,61,1.1744,-184.2704,3,17263,32.542929887771606,
ttbi-QR-14-8999-3,14,1.2582,-184.2555,3,8999,16.740928649902344,
ttbi-QR-13-10222-3,13,1.1141,-183.9767,3,10222,73.04277777671814,
ttbi-QR-15-17828-3,15,1.1601,-183.933,3,17828,18.72418785095215,
ttbi-QR-61-2513-3,61,1.1846,-183.8562,3,2513,32.80653262138367,
ttbi-QR-14-12413-3,14,1.1971,-183.8482,3,12413,26.652103900909424,
ttbi-QR-15-21927-3,15,1.1765,-183.8122,3,21927,29.191064596176147,
ttbi-QR-43-14238-3,43,1.176,-183.7907,3,14238,14.848535537719727,
ttbi-QR-2-8753-3,2,1.015,-183.7559,3,8753,8.632575511932373,
ttbi-QR-15-15336-3,15,1.2981,-183.7349,3,15336,17.13187074661255,
ttbi-QR-14-1234-3,14,1.0055,-183.725,3,1234,18.94040870666504,
ttbi-QR-14-5344-3,14,1.392,-183.7137,3,5344,17.691146850585938,
ttbi-QR-15-13307-3,15,1.2735,-183.6229,3,13307,24.281238079071045,
ttbi-QR-15-10867-3,15,1.1855,-183.5676,3,10867,94.36362719535828,
ttbi-QR-29-8627-3,29,0.9623,-183.5313,3,8627,11.357741594314575,
ttbi-QR-15-5929-3,15,1.1598,-183.5113,3,5929,55.78122854232788,
ttbi-QR-14-3528-3,14,1.275,-183.4597,3,3528,16.45810031890869,
ttbi-QR-15-5607-3,15,1.3567,-183.459,3,5607,19.80830955505371,
ttbi-QR-14-1889-3,14,1.3055,-183.3116,3,1889,18.086552381515503,
ttbi-QR-14-9901-3,14,1.3274,-183.2664,3,9901,21.453891038894653,
ttbi-QR-148-5308-3,148,1.2463,-183.2211,3,5308,40.78210115432739,
ttbi-QR-33-797-3,33,1.2449,-183.2205,3,797,13.989237070083618,
ttbi-QR-14-4728-3,14,1.1595,-183.1648,3,4728,17.78857421875,
ttbi-QR-19-10423-3,19,1.0934,-183.131,3,10423,14.736666917800903,
ttbi-QR-145-2766-3,145,1.2592,-183.0855,3,2766,10.364176511764526,
ttbi-QR-15-8465-3,15,1.3223,-183.0272,3,8465,19.427860498428345,
ttbi-QR-14-142-3,14,1.1678,-183.0017,3,142,13.319775104522705,
ttbi-QR-60-205-3,60,1.1762,-183.0002,3,205,34.35054159164429,
ttbi-QR-2-14466-3,2,1.116,-182.8588,3,14466,14.890580177307129,
ttbi-QR-14-7849-3,14,1.2048,-182.7164,3,7849,16.141385078430176,
ttbi-QR-60-1380-3,60,1.0791,-182.6479,3,1380,45.962013483047485,
ttbi-QR-61-14027-3,61,1.1791,-182.6378,3,14027,39.05475425720215,
ttbi-QR-60-13705-3,60,1.1349,-182.6299,3,13705,32.62204456329346,
ttbi-QR-15-18872-3,15,1.0877,-182.6168,3,18872,14.344925165176392,
ttbi-QR-86-23163-3,86,0.7549,-182.6021,3,23163,22.6905996799469,
ttbi-QR-88-20471-3,88,1.1996,-182.411,3,20471,42.236279249191284,
ttbi-QR-14-4784-3,14,1.2784,-182.406,3,4784,20.634130477905273,
ttbi-QR-14-3818-3,14,1.0104,-182.3842,3,3818,14.724724531173706,
ttbi-QR-88-33990-3,88,1.232,-182.3773,3,33990,33.9594190120697,
ttbi-QR-2-16522-3,2,0.9898,-182.3254,3,16522,30.753438472747803,
ttbi-QR-14-7540-3,14,0.7747,-182.3089,3,7540,39.2638201713562,
ttbi-QR-15-20103-3,15,1.2654,-182.2772,3,20103,18.303412675857544,
ttbi-QR-14-10144-3,14,1.0618,-182.1045,3,10144,176.82200264930725,
ttbi-QR-88-35461-3,88,1.3827,-182.0742,3,35461,37.12021446228027,
ttbi-QR-76-3219-3,76,1.2027,-182.0191,3,3219,11.22571849822998,
ttbi-QR-13-13186-3,13,1.2574,-181.994,3,13186,71.02766299247742,
ttbi-QR-20-19927-3,20,1.2668,-181.967,3,19927,17.89470863342285,
ttbi-QR-15-12108-3,15,0.9639,-181.9151,3,12108,18.104995012283325,
ttbi-QR-19-7137-3,19,1.2906,-181.9101,3,7137,14.24295449256897,
ttbi-QR-15-4101-3,15,1.2503,-181.8666,3,4101,16.680803298950195,
ttbi-QR-148-6-3,148,1.1673,-181.8469,3,6,29.14723491668701,
ttbi-QR-15-17207-3,15,1.2341,-181.815,3,17207,20.398560762405396,
ttbi-QR-15-5970-3,15,1.1305,-181.7843,3,5970,19.55525493621826,
ttbi-QR-60-17644-3,60,1.1861,-181.7419,3,17644,32.0940957069397,
ttbi-QR-14-4450-3,14,1.2622,-181.7026,3,4450,32.03940534591675,
ttbi-QR-76-5193-3,76,1.2807,-181.5861,3,5193,44.58287024497986,
ttbi-QR-15-5848-3,15,1.2175,-181.5611,3,5848,54.01891827583313,
ttbi-QR-14-13737-3,14,1.2071,-181.5302,3,13737,16.115802764892578,
ttbi-QR-61-15018-3,61,1.2268,-181.5301,3,15018,32.40342473983765,
ttbi-QR-14-4688-3,14,1.175,-181.5123,3,4688,17.235671997070312,
ttbi-QR-7-208-3,7,1.1993,-181.5032,3,208,27.95534110069275,
ttbi-QR-15-14771-3,15,1.2817,-181.4947,3,14771,22.169967889785767,
ttbi-QR-5-20383-3,5,1.2557,-181.4238,3,20383,9.660260200500488,
ttbi-QR-14-8402-3,14,1.2894,-181.3087,3,8402,18.605895519256592,
ttbi-QR-15-12065-3,15,1.3443,-181.27,3,12065,106.80974769592285,
ttbi-QR-61-481-3,61,1.3815,-181.2197,3,481,38.32380819320679,
ttbi-QR-20-17182-3,20,1.3277,-181.2004,3,17182,16.33209800720215,
ttbi-QR-2-11565-3,2,1.0919,-181.1196,3,11565,9.360801935195923,
ttbi-QR-15-13815-3,15,1.2325,-181.0943,3,13815,16.85064458847046,
ttbi-QR-56-14279-3,56,1.3062,-181.0032,3,14279,35.451579570770264,
ttbi-QR-13-11321-3,13,1.2506,-181.0002,3,11321,18.774399518966675,
ttbi-QR-14-5820-3,14,1.2069,-180.9984,3,5820,16.19763684272766,
ttbi-QR-13-20827-3,13,1.2657,-180.9934,3,20827,19.107592821121216,
ttbi-QR-15-13081-3,15,1.057,-180.9493,3,13081,44.82667803764343,
ttbi-QR-14-8862-3,14,1.1799,-180.9308,3,8862,14.35052490234375,
ttbi-QR-14-2270-3,14,1.2543,-180.9191,3,2270,19.44978356361389,
ttbi-QR-14-8154-3,14,1.0801,-180.9144,3,8154,13.289186000823975,
ttbi-QR-15-8625-3,15,1.0512,-180.8668,3,8625,14.597127676010132,
ttbi-QR-14-8416-3,14,1.2774,-180.8459,3,8416,17.44328260421753,
ttbi-QR-20-11100-3,20,1.1751,-180.8096,3,11100,16.979989051818848,
ttbi-QR-60-1887-3,60,0.7886,-180.7819,3,1887,23.968809604644775,
ttbi-QR-15-18670-3,15,1.198,-180.7263,3,18670,17.87257719039917,
ttbi-QR-33-10995-3,33,1.2969,-180.6918,3,10995,15.204607009887695,
ttbi-QR-15-20090-3,15,1.1245,-180.6905,3,20090,16.55220866203308,
ttbi-QR-14-10288-3,14,0.7885,-180.672,3,10288,10.013406038284302,
ttbi-QR-43-560-3,43,1.1923,-180.6556,3,560,16.2152099609375,
ttbi-QR-14-8651-3,14,1.3085,-180.5544,3,8651,30.56695294380188,
ttbi-QR-96-2315-3,96,1.2932,-180.5402,3,2315,29.240180730819702,
ttbi-QR-15-13671-3,15,1.2455,-180.4257,3,13671,19.82786226272583,
ttbi-QR-96-8448-3,96,1.347,-180.3906,3,8448,29.813777208328247,
ttbi-QR-60-13296-3,60,1.0564,-180.39,3,13296,179.13053250312805,
ttbi-QR-96-7913-3,96,1.3252,-180.3516,3,7913,28.89254331588745,
ttbi-QR-148-6134-3,148,1.2116,-180.3127,3,6134,52.123791456222534,
ttbi-QR-14-8724-3,14,1.2708,-180.301,3,8724,15.655447721481323,
ttbi-QR-15-9787-3,15,1.2262,-180.2185,3,9787,16.259577989578247,
ttbi-QR-61-11081-3,61,1.2542,-180.1537,3,11081,274.3753559589386,
ttbi-QR-14-11220-3,14,1.1751,-180.0482,3,11220,17.215730667114258,
ttbi-QR-88-24416-3,88,1.1453,-180.0129,3,24416,33.237061500549316,
ttbi-QR-15-12580-3,15,1.2528,-179.9944,3,12580,45.52157282829285,
ttbi-QR-13-24090-3,13,0.9422,-179.9823,3,24090,12.709051609039307,
ttbi-QR-14-12934-3,14,1.2332,-179.9625,3,12934,31.46543288230896,
ttbi-QR-148-3890-3,148,1.0162,-179.9425,3,3890,27.77435851097107,
ttbi-QR-15-7322-3,15,1.2151,-179.9218,3,7322,32.89469885826111,
ttbi-QR-60-20885-3,60,1.1807,-179.8772,3,20885,36.766021966934204,
ttbi-QR-13-16336-3,13,1.2396,-179.8104,3,16336,17.969546794891357,
ttbi-QR-15-5513-3,15,1.3275,-179.8093,3,5513,87.26827573776245,
ttbi-QR-15-5038-3,15,1.042,-179.8065,3,5038,15.165414333343506,
ttbi-QR-61-17449-3,61,1.282,-179.7436,3,17449,35.65614080429077,
ttbi-QR-15-18164-3,15,1.1299,-179.7265,3,18164,17.803391218185425,
ttbi-QR-14-5806-3,14,1.367,-179.7138,3,5806,22.248748779296875,
ttbi-QR-15-16683-3,15,0.9405,-179.6809,3,16683,26.501614332199097,
ttbi-QR-15-2570-3,15,1.2071,-179.6554,3,2570,19.404631853103638,
ttbi-QR-14-9634-3,14,0.9795,-179.6234,3,9634,14.946129322052002,
ttbi-QR-15-12861-3,15,1.1101,-179.5794,3,12861,29.688079357147217,
ttbi-QR-60-13971-3,60,1.0924,-179.5674,3,13971,30.963306427001953,
ttbi-QR-14-6903-3,14,1.374,-179.5535,3,6903,20.41298484802246,
ttbi-QR-169-2024-3,169,1.2936,-179.5469,3,2024,21.20363688468933,
ttbi-QR-14-13465-3,14,1.3639,-179.5341,3,13465,19.45198369026184,
ttbi-QR-33-1598-3,33,1.1802,-179.4689,3,1598,25.972332000732422,
ttbi-QR-2-3350-3,2,1.151,-179.436,3,3350,9.563987493515015,
ttbi-QR-13-3358-3,13,1.1616,-179.4075,3,3358,31.18866515159607,
ttbi-QR-13-3518-3,13,1.2101,-179.3933,3,3518,19.09325933456421,
ttbi-QR-14-7654-3,14,1.1888,-179.3748,3,7654,25.549134731292725,
ttbi-QR-14-1464-3,14,1.051,-179.2953,3,1464,12.32910442352295,
ttbi-QR-15-14865-3,15,1.1798,-179.2581,3,14865,21.10767936706543,
ttbi-QR-15-7071-3,15,1.2221,-179.2238,3,7071,19.475286722183228,
ttbi-QR-61-12795-3,61,1.2701,-179.1143,3,12795,37.248953104019165,
ttbi-QR-15-2526-3,15,1.2412,-179.0974,3,2526,15.841551780700684,
ttbi-QR-15-14452-3,15,1.2559,-179.0468,3,14452,19.900466203689575,
ttbi-QR-13-7630-3,13,1.1473,-179.0313,3,7630,15.745873928070068,
ttbi-QR-60-702-3,60,1.352,-179.0269,3,702,39.98633289337158,
ttbi-QR-60-23742-3,60,1.2822,-178.9703,3,23742,37.858072996139526,
ttbi-QR-14-133-3,14,1.3529,-178.9236,3,133,19.087491035461426,
ttbi-QR-88-14100-3,88,1.1873,-178.911,3,14100,32.11154222488403,
ttbi-QR-14-2578-3,14,1.0472,-178.9017,3,2578,17.034135818481445,
ttbi-QR-15-4102-3,15,1.2521,-178.8636,3,4102,20.85599422454834,
